Row.names	clusters	lib	Species	length	n50	genome_quality	Illumina_Library_ID	Sample_ID.x	Culturing_Sample_ID	Antibiotics	Sample_ID.y	Cubicle_room	Sample_type	Material	Human_Traffic	timept	Room_type	bed_number	strain
s_183	17	N107_BC11	Acinetobacter_baumannii	2396727	49380	MEDIUM_QUAL	WEE080	HMBR061	HMBR063	CHLOR	HMBR061	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	1	s17
s_188	21	N112_BC04	Acinetobacter_baumannii	3931290	3467140	HIGH_QUAL	WEE294	HMBR034	HMBR036	AMP	HMBR034	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	2	s21
s_189	21	N112_BC05	Acinetobacter_baumannii	3947670	3908457	HIGH_QUAL	WEE294	HMBR034	HMBR036	CHLOR	HMBR034	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	2	s21
s_190	9	N113_BC11	Acinetobacter_baumannii	4020316	3980385	HIGH_QUAL	WEE096	HMBL112	HMBL114	AMP	HMBL112	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	3	s9
s_191	9	N113_BC12	Acinetobacter_baumannii	4006465	3966671	HIGH_QUAL	WEE096	HMBL112	HMBL114	CHLOR	HMBL112	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	3	s9
s_192	22	N114_BC05	Acinetobacter_baumannii	4074778	4034307	HIGH_QUAL	WEE276	HMBL016	HMBL018	CHLOR	HMBL016	Cubicle_2	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	1	s22
s_193	22	N114_BC07	Acinetobacter_baumannii	4069366	3042979	HIGH_QUAL	WEE276	HMBL016	HMBL018	TET	HMBL016	Cubicle_2	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	1	s22
s_194	1	N115_BC01	Acinetobacter_baumannii	3921834	3882878	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	AMP	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2	s1
s_195	1	N116_BC03	Acinetobacter_baumannii	3915420	3876527	HIGH_QUAL	WEE301	HMCT016	HMCT018	AMP	HMCT016	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	1	s1
s_196	1	N116_BC04	Acinetobacter_baumannii	3922363	3883401	HIGH_QUAL	WEE301	HMCT016	HMCT018	CHLOR	HMCT016	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	1	s1
s_197	1	N116_BC05	Acinetobacter_baumannii	3919628	3880694	HIGH_QUAL	WEE301	HMCT016	HMCT018	KAN	HMCT016	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	1	s1
s_198	1	N116_BC06	Acinetobacter_baumannii	3933369	3894299	HIGH_QUAL	WEE301	HMCT016	HMCT018	TET	HMCT016	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	1	s1
s_201	1	N118_BC02	Acinetobacter_baumannii	3923067	3884099	HIGH_QUAL	WEE295	HMCT019	HMCT021	AMP	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	2	s1
s_202	1	N118_BC03	Acinetobacter_baumannii	3922307	3883346	HIGH_QUAL	WEE295	HMCT019	HMCT021	CHLOR	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	2	s1
s_203	1	N118_BC04	Acinetobacter_baumannii	3890254	3851610	HIGH_QUAL	WEE295	HMCT019	HMCT021	KAN	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	2	s1
s_204	1	N118_BC05	Acinetobacter_baumannii	3924861	3885875	HIGH_QUAL	WEE295	HMCT019	HMCT021	TET	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	2	s1
s_205	7	N124_BC09	Acinetobacter_baumannii	4035303	3995222	HIGH_QUAL	WEE143	HMBL073	HMBL075	AMP	HMBL073	Cubicle_1	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5	s7
s_206	1	N126_BC04	Acinetobacter_baumannii	3858348	3820020	HIGH_QUAL	WEE086	HMBL064	HMBL066	AMP	HMBL064	Cubicle_1	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	2	s1
s_207	1	N126_BC05	Acinetobacter_baumannii	3919913	3880976	HIGH_QUAL	WEE086	HMBL064	HMBL066	KAN	HMBL064	Cubicle_1	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	2	s1
s_208	3	N126_BC06	Acinetobacter_baumannii	4072014	2969974	HIGH_QUAL	WEE086	HMBL064	HMBL066	STREP	HMBL064	Cubicle_1	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	2	s3
s_209	1	N126_BC07	Acinetobacter_baumannii	3892401	3853735	HIGH_QUAL	WEE086	HMBL064	HMBL066	TET	HMBL064	Cubicle_1	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	2	s1
s_210	1	N129_BC05	Acinetobacter_baumannii	3921440	3882488	HIGH_QUAL	WEE107	HMBR070	HMBR072	AMP	HMBR070	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	4	s1
s_211	1	N129_BC06	Acinetobacter_baumannii	3915256	3876365	HIGH_QUAL	WEE107	HMBR070	HMBR072	CHLOR	HMBR070	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	4	s1
s_212	1	N129_BC07	Acinetobacter_baumannii	3904698	3865911	HIGH_QUAL	WEE107	HMBR070	HMBR072	KAN	HMBR070	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	4	s1
s_213	1	N129_BC08	Acinetobacter_baumannii	3906536	3867731	HIGH_QUAL	WEE107	HMBR070	HMBR072	TET	HMBR070	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	4	s1
s_214	1	N131_BC12	Acinetobacter_baumannii	3898781	3860052	HIGH_QUAL	WEE086	HMBL064	HMBL066	CHLOR	HMBL064	Cubicle_1	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	2	s1
s_215	1	N132_BC10	Acinetobacter_baumannii	3930023	3890986	HIGH_QUAL	WEE340	HMBL049	HMBL051	AMP	HMBL049	Cubicle_4	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	2	s1
s_216	1	N132_BC11	Acinetobacter_baumannii	3935675	3896582	HIGH_QUAL	WEE340	HMBL049	HMBL051	CHLOR	HMBL049	Cubicle_4	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	2	s1
s_217	1	N132_BC12	Acinetobacter_baumannii	3938866	3899740	HIGH_QUAL	WEE340	HMBL049	HMBL051	KAN	HMBL049	Cubicle_4	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	2	s1
s_218	1	N133_BC02	Acinetobacter_baumannii	3942672	3903509	HIGH_QUAL	WEE340	HMBL049	HMBL051	TET	HMBL049	Cubicle_4	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	2	s1
s_219	3	N134_BC08	Acinetobacter_baumannii	4007263	3967461	HIGH_QUAL	WEE059	HMBR016_02	HMBR018_02	CHLOR	HMBR016	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	1	s3
s_220	3	N134_BC09	Acinetobacter_baumannii	4001756	3962007	HIGH_QUAL	WEE059	HMBR016_02	HMBR018_02	KAN	HMBR016	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	1	s3
s_221	3	N134_BC10	Acinetobacter_baumannii	4009843	3463293	HIGH_QUAL	WEE059	HMBR016_02	HMBR018_02	TET	HMBR016	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	1	s3
s_222	3	N137_BC11	Acinetobacter_baumannii	3959756	3920424	HIGH_QUAL	WEE146	HMCT088	HMCT090	AMP	HMCT088	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5	s3
s_223	3	N137_BC12	Acinetobacter_baumannii	3955209	3915922	HIGH_QUAL	WEE146	HMCT088	HMCT090	CHLOR	HMCT088	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5	s3
s_224	3	N138_BC01	Acinetobacter_baumannii	3962805	3923443	HIGH_QUAL	WEE146	HMCT088	HMCT090	STREP	HMCT088	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5	s3
s_225	3	N138_BC02	Acinetobacter_baumannii	3961483	3922134	HIGH_QUAL	WEE146	HMCT088	HMCT090	TET	HMCT088	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5	s3
s_226	1	N139_BC01	Acinetobacter_baumannii	3906059	3867259	HIGH_QUAL	WEE148	HMCT064	HMCT066	AMP	HMCT064	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	2	s1
s_227	1	N139_BC02	Acinetobacter_baumannii	3899582	3860846	HIGH_QUAL	WEE148	HMCT064	HMCT066	CHLOR	HMCT064	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	2	s1
s_228	1	N139_BC03	Acinetobacter_baumannii	3907462	3868648	HIGH_QUAL	WEE148	HMCT064	HMCT066	KAN	HMCT064	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	2	s1
s_229	1	N139_BC04	Acinetobacter_baumannii	3906538	3867733	HIGH_QUAL	WEE148	HMCT064	HMCT066	STREP	HMCT064	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	2	s1
s_230	1	N139_BC05	Acinetobacter_baumannii	3908435	3869611	HIGH_QUAL	WEE148	HMCT064	HMCT066	TET	HMCT064	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	2	s1
s_232	3	N142_BC10	Acinetobacter_baumannii	3956934	3917630	HIGH_QUAL	WEE335	HMBL091_02	HMBL093_02	AMP	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	1	s3
s_233	3	N142_BC11	Acinetobacter_baumannii	3961360	3922011	HIGH_QUAL	WEE335	HMBL091_02	HMBL093_02	KAN	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	1	s3
s_235	1	N144_BC03	Acinetobacter_baumannii	3894965	3856275	HIGH_QUAL	WEE132	HMBR070_02	HMBR072_02	AMP	HMBR070	Cubicle_1	Bed_Rail	Metal	Low_(less_than_2)	2	Non-cohort_cubicles	4	s1
s_236	15	N147_BC01	Acinetobacter_baumannii	3814251	2887519	HIGH_QUAL	WEE259	HMBR043	HMBR045	CHLOR	HMBR043	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	5	s15
s_237	16	N147_BC06	Acinetobacter_baumannii	3964510	3925131	HIGH_QUAL	WEE191	HMP010	HMP012	AMP	HMP010	Cubicle_4	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA	s16
s_238	25	N147_BC07	Acinetobacter_baumannii	3955530	3916239	HIGH_QUAL	WEE191	HMP010	HMP012	CHLOR	HMP010	Cubicle_4	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA	s25
s_239	23	N149_BC06	Acinetobacter_baumannii	3982146	793776	HIGH_QUAL	WEE116	HMCT115	HMCT117	CHLOR	HMCT115	Cubicle_4	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	4	s23
s_240	3	N150_BC08	Acinetobacter_baumannii	3959362	3920033	HIGH_QUAL	WEE146	HMCT088	HMCT090	KAN	HMCT088	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5	s3
s_241	1	N151_BC04	Acinetobacter_baumannii	3882030	3843468	HIGH_QUAL	WEE344	HMP018_02	HMP020_02	KAN	HMP018	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	2	Non-cohort_cubicles	NA	s1
s_242	1	N151_BC05	Acinetobacter_baumannii	3874984	3836491	HIGH_QUAL	WEE344	HMP018_02	HMP020_02	TET	HMP018	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	2	Non-cohort_cubicles	NA	s1
s_243	3	N151_BC07	Acinetobacter_baumannii	3977272	2066052	HIGH_QUAL	WEE335	HMBL091_02	HMBL093_02	CHLOR	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	1	s3
s_244	15	N152_BC02	Acinetobacter_baumannii	3593195	2443711	HIGH_QUAL	WEE259	HMBR043	HMBR045	AMP	HMBR043	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	5	s15
s_245	5	N152_BC06	Acinetobacter_baumannii	4049460	2923040	HIGH_QUAL	WEE049	HMP039	HMP041	AMP	HMP039	Room_4	Pulse_Oxymeter	Rubber	Moderate_(2-5)	1	Isolation_rooms	NA	s5
s_247	3	N155_BC01	Acinetobacter_baumannii	3993510	3920762	HIGH_QUAL	WEE335	HMBL091_02	HMBL093_02	STREP	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	1	s3
s_248	3	N155_BC02	Acinetobacter_baumannii	3935959	3896863	HIGH_QUAL	WEE335	HMBL091_02	HMBL093_02	TET	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	1	s3
s_249	8	N156_BC03	Acinetobacter_baumannii	2471825	62782	MEDIUM_QUAL	WEE083	HMBR106	HMBR108	AMP	HMBR106	Cubicle_4	Bed_Rail	Plastic	Empty	1	Non-cohort_cubicles	1	s8
s_250	4	N156_BC11	Acinetobacter_baumannii	3877637	3839116	HIGH_QUAL	WEE254	HMBL031	HMBL033	AMP	HMBL031	Cubicle_3	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	1	s4
s_251	4	N156_BC12	Acinetobacter_baumannii	3891232	3822402	HIGH_QUAL	WEE254	HMBL031	HMBL033	CHLOR	HMBL031	Cubicle_3	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	1	s4
s_252	4	N157_BC01	Acinetobacter_baumannii	3886020	3847417	HIGH_QUAL	WEE254	HMBL031	HMBL033	TET	HMBL031	Cubicle_3	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	1	s4
s_253	2	N157_BC02	Acinetobacter_baumannii	3790536	3752879	HIGH_QUAL	WEE153	HMCT133	HMCT135	CHLOR	HMCT133	Room_5	Cardiac_Table	Metal	Moderate_(2-5)	1	Isolation_rooms	NA	s2
s_256	2	N161_BC11	Acinetobacter_baumannii	3784905	3747302	HIGH_QUAL	WEE153	HMCT133	HMCT135	AMP	HMCT133	Room_5	Cardiac_Table	Metal	Moderate_(2-5)	1	Isolation_rooms	NA	s2
s_257	2	N161_BC12	Acinetobacter_baumannii	3782478	2251923	HIGH_QUAL	WEE153	HMCT133	HMCT135	STREP	HMCT133	Room_5	Cardiac_Table	Metal	Moderate_(2-5)	1	Isolation_rooms	NA	s2
s_260	6	N172_BC12	Acinetobacter_baumannii	3822296	3784326	HIGH_QUAL	WEE203	HMCT046_02	HMCT048_02	CHLOR	HMCT046	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	1	s6
s_261	10	N173_BC06	Acinetobacter_baumannii	3885504	3834037	HIGH_QUAL	WEE228	HMBL040_02	HMBL042_02	AMP	HMBL040	Cubicle_3	Bedside_Locker	Wood	Empty	2	MDRO_cubicles	4	s10
s_262	10	N173_BC07	Acinetobacter_baumannii	3883224	3532009	HIGH_QUAL	WEE228	HMBL040_02	HMBL042_02	CHLOR	HMBL040	Cubicle_3	Bedside_Locker	Wood	Empty	2	MDRO_cubicles	4	s10
s_266	3	N177_BC07	Acinetobacter_baumannii	4026134	3944922	HIGH_QUAL	WEE338	HMBL100_02	HMBL102_02	CHLOR	HMBL100	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	4	s3
s_267	3	N177_BC08	Acinetobacter_baumannii	3940200	2592601	HIGH_QUAL	WEE338	HMBL100_02	HMBL102_02	STREP	HMBL100	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	4	s3
s_268	19	N191_BC04	Acinetobacter_baumannii	4029310	1400746	HIGH_QUAL	WEE257	HMCT055_02	HMCT057_02	AMP	HMCT055	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	4	s19
s_269	19	N191_BC05	Acinetobacter_baumannii	3944342	3845488	HIGH_QUAL	WEE257	HMCT055_02	HMCT057_02	CHLOR	HMCT055	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	4	s19
s_270	21	N194_BC11	Acinetobacter_baumannii	3144622	1809886	HIGH_QUAL	WEE294	HMBR034	HMBR036	BHI	HMBR034	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	2	s21
s_271	3	N197_BC02	Acinetobacter_baumannii	3970013	3930579	HIGH_QUAL	WEE338	HMBL100_02	HMBL102_02	AMP	HMBL100	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	4	s3
s_272	3	N197_BC03	Acinetobacter_baumannii	3962751	3141689	HIGH_QUAL	WEE338	HMBL100_02	HMBL102_02	KAN	HMBL100	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	4	s3
s_273	3	N197_BC04	Acinetobacter_baumannii	3959884	3920550	HIGH_QUAL	WEE338	HMBL100_02	HMBL102_02	TET	HMBL100	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	4	s3
s_275	24	N197_BC10	Acinetobacter_baumannii	3685587	471278	HIGH_QUAL	WEE263	HMCT049_02	HMCT051_02	AMP	HMCT049	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2	s24
s_276	1	N200_BC04	Acinetobacter_baumannii	3898774	3860047	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	BHI	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2	s1
s_277	9	N200_BC11	Acinetobacter_baumannii	3980543	1118163	HIGH_QUAL	WEE096	HMBL112	HMBL114	BHI	HMBL112	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	3	s9
s_278	22	N201_BC01	Acinetobacter_baumannii	4095482	3131304	HIGH_QUAL	WEE276	HMBL016	HMBL018	BHI	HMBL016	Cubicle_2	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	1	s22
s_279	1	N201_BC05	Acinetobacter_baumannii	3773126	662503	HIGH_QUAL	WEE301	HMCT016	HMCT018	BHI	HMCT016	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	1	s1
s_280	1	N201_BC09	Acinetobacter_baumannii	3899959	2249657	HIGH_QUAL	WEE295	HMCT019	HMCT021	BHI	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	2	s1
s_282	7	N203_BC05	Acinetobacter_baumannii	4018188	3170568	HIGH_QUAL	WEE143	HMBL073	HMBL075	BHI	HMBL073	Cubicle_1	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5	s7
s_283	1	N203_BC09	Acinetobacter_baumannii	3896207	1508118	HIGH_QUAL	WEE086	HMBL064	HMBL066	BHI	HMBL064	Cubicle_1	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	2	s1
s_284	1	N204_BC05	Acinetobacter_baumannii	3904497	3850704	HIGH_QUAL	WEE107	HMBR070	HMBR072	BHI	HMBR070	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	4	s1
s_285	1	N204_BC07	Acinetobacter_baumannii	3978325	3912538	HIGH_QUAL	WEE340	HMBL049	HMBL051	BHI	HMBL049	Cubicle_4	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	2	s1
s_286	3	N204_BC11	Acinetobacter_baumannii	4026010	3986021	HIGH_QUAL	WEE059	HMBR016_02	HMBR018_02	BHI	HMBR016	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	1	s3
s_287	9	N205_BC05	Acinetobacter_baumannii	3526878	224518	HIGH_QUAL	WEE096	HMBL112	HMBL114	STREP	HMBL112	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	3	s9
s_288	3	N206_BC08	Acinetobacter_baumannii	4001816	3962068	HIGH_QUAL	WEE059	HMBR016_02	HMBR018_02	STREP	HMBR016	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	1	s3
s_290	3	N209_BC08	Acinetobacter_baumannii	3997813	3958104	HIGH_QUAL	WEE146	HMCT088	HMCT090	BHI	HMCT088	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5	s3
s_291	1	N209_BC10	Acinetobacter_baumannii	3944614	3905432	HIGH_QUAL	WEE148	HMCT064	HMCT066	BHI	HMCT064	Cubicle_1	Cardiac_Table	Metal	Empty	1	Non-cohort_cubicles	2	s1
s_293	13	N210_BC12	Acinetobacter_baumannii	3806611	409608	HIGH_QUAL	WEE083	HMBR106	HMBR108	CHLOR	HMBR106	Cubicle_4	Bed_Rail	Plastic	Empty	1	Non-cohort_cubicles	1	s13
s_294	3	N212_BC08	Acinetobacter_baumannii	3976943	3937440	HIGH_QUAL	WEE335	HMBL091_02	HMBL093_02	BHI	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	1	s3
s_295	15	N213_BC07	Acinetobacter_baumannii	3729892	2334494	HIGH_QUAL	WEE259	HMBR043	HMBR045	BHI	HMBR043	Cubicle_3	Bed_Rail	Plastic	Empty	1	MDRO_cubicles	5	s15
s_296	11	N213_BC08	Acinetobacter_baumannii	3962447	3923087	HIGH_QUAL	WEE191	HMP010	HMP012	BHI	HMP010	Cubicle_4	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA	s11
s_300	5	N214_BC07	Acinetobacter_baumannii	4330237	3187735	HIGH_QUAL	WEE049	HMP039	HMP041	BHI	HMP039	Room_4	Pulse_Oxymeter	Rubber	Moderate_(2-5)	1	Isolation_rooms	NA	s5
s_301	4	N215_BC06	Acinetobacter_baumannii	2575509	1021813	MEDIUM_QUAL	WEE254	HMBL031	HMBL033	BHI	HMBL031	Cubicle_3	Bedside_Locker	Wood	Empty	1	MDRO_cubicles	1	s4
s_302	2	N215_BC08	Acinetobacter_baumannii	3806455	3768640	HIGH_QUAL	WEE153	HMCT133	HMCT135	BHI	HMCT133	Room_5	Cardiac_Table	Metal	Moderate_(2-5)	1	Isolation_rooms	NA	s2
s_303	1	N216_BC11	Acinetobacter_baumannii	4367125	3769871	MEDIUM_QUAL	WEE063	HMCT019_02	HMCT021_02	BHI	HMCT019	Cubicle_2	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2	s1
s_304	6	N218_BC09	Acinetobacter_baumannii	3021417	106680	MEDIUM_QUAL	WEE123	HMST021_02	HMST023_02	BHI	HMST021	Cubicle_2	Sink_Trap	Metal	Moderate_(2-5)	2	Non-cohort_cubicles	NA	s6
s_305	24	N219_BC09	Acinetobacter_baumannii	4141411	3872624	HIGH_QUAL	WEE232	HMBL049_02	HMBL051_02	BHI	HMBL049	Cubicle_4	Bedside_Locker	Wood	Empty	2	MDRO_cubicles	2	s24
s_306	3	N219_BC12	Acinetobacter_baumannii	4002599	2932137	HIGH_QUAL	WEE338	HMBL100_02	HMBL102_02	BHI	HMBL100	Cubicle_3	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	4	s3
s_308	24	N222_BC08	Acinetobacter_baumannii	3674583	290619	HIGH_QUAL	WEE263	HMCT049_02	HMCT051_02	BHI	HMCT049	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	2	s24
s_309	20	N222_BC12	Acinetobacter_baumannii	3914332	3230515	HIGH_QUAL	WEE273	HMCT130_02	HMCT132_02	BHI	HMCT130	Room_4	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA	s20
s_310	19	N224_BC02	Acinetobacter_baumannii	3889869	3851229	HIGH_QUAL	WEE257	HMCT055_02	HMCT057_02	BHI	HMCT055	Cubicle_4	Cardiac_Table	Metal_and_Wood	Empty	2	MDRO_cubicles	4	s19
s_312	1	N224_BC12	Acinetobacter_baumannii	3924731	2173461	HIGH_QUAL	WEE064	HMBL022_02	HMBL024_02	AMP	HMBL022	Cubicle_2	Bedside_Locker	Wood	Empty	2	MDRO_cubicles	3	s1
