ID	Species	Library	Classification
qacA	Staphylococcus_aureus	N165_BC03	qacA
qacA	Staphylococcus_aureus	N165_BC07	qacA
qacA	Staphylococcus_aureus	N165_BC08	qacA
qacA	Staphylococcus_aureus	N165_BC08	qacA
qacA	Staphylococcus_aureus	N165_BC08	qacA
qacA	Staphylococcus_aureus	N165_BC09	qacA
qacA	Staphylococcus_aureus	N166_BC06	qacA
qacA	Staphylococcus_aureus	N166_BC07	qacA
qacA	Staphylococcus_aureus	N167_BC05	qacA
qacA	Staphylococcus_aureus	N167_BC05	qacA
qacA	Staphylococcus_aureus	N167_BC05	qacA
qacA	Staphylococcus_aureus	N170_BC10	qacA
qacA	Staphylococcus_aureus	N173_BC08	qacA
qacA	Staphylococcus_aureus	N174_BC04	qacA
qacA	Staphylococcus_aureus	N175_BC02	qacA
qacA	Staphylococcus_aureus	N176_BC12	qacA
qacA	Staphylococcus_aureus	N177_BC10	qacA
qacA	Staphylococcus_aureus	N177_BC12	qacA
qacA	Staphylococcus_aureus	N178_BC07	qacA
qacA	Staphylococcus_aureus	N179_BC03	qacA
qacA	Staphylococcus_aureus	N181_BC03	qacA
qacA	Staphylococcus_aureus	N181_BC04	qacA
qacA	Staphylococcus_aureus	N181_BC05	qacA
qacA	Staphylococcus_aureus	N182_BC03	qacA
qacA	Staphylococcus_aureus	N182_BC05	qacA
qacA	Staphylococcus_aureus	N183_BC12	qacA
qacA	Staphylococcus_aureus	N184_BC02	qacA
qacA	Staphylococcus_aureus	N184_BC03	qacA
qacA	Staphylococcus_aureus	N184_BC06	qacA
qacA	Staphylococcus_aureus	N184_BC07	qacA
qacA	Staphylococcus_aureus	N184_BC10	qacA
qacA	Staphylococcus_aureus	N184_BC11	qacA
qacA	Staphylococcus_aureus	N186_BC06	qacA
qacA	Staphylococcus_aureus	N188_BC05	qacA
qacA	Staphylococcus_aureus	N189_BC02	qacA
qacA	Staphylococcus_aureus	N190_BC06	qacA
qacA	Staphylococcus_aureus	N193_BC07	qacA
qacA	Staphylococcus_aureus	N193_BC08	qacA
qacA	Staphylococcus_aureus	N193_BC10	qacA
qacA	Staphylococcus_aureus	N194_BC05	qacA
qacA	Staphylococcus_aureus	N194_BC09	qacA
qacA	Staphylococcus_aureus	N194_BC11	qacA
qacA	Staphylococcus_aureus	N195_BC02	qacA
qacA	Staphylococcus_aureus	N195_BC11	qacA
qacA	Staphylococcus_aureus	N197_BC12	qacA
qacA	Staphylococcus_aureus	N199_BC01	qacA
qacA	Staphylococcus_aureus	N199_BC03	qacA
qacA	Staphylococcus_aureus	N199_BC04	qacA
qacA	Staphylococcus_aureus	N200_BC09	qacA
qacA	Staphylococcus_aureus	N202_BC05	qacA
qacA	Staphylococcus_aureus	N205_BC04	qacA
qacA	Staphylococcus_aureus	N207_BC08	qacA
qacA	Staphylococcus_aureus	N209_BC09	qacA
qacA	Staphylococcus_aureus	N210_BC03	qacA
qacA	Staphylococcus_aureus	N210_BC04	qacA
qacA	Staphylococcus_aureus	N210_BC11	qacA
qacA	Staphylococcus_aureus	N212_BC10	qacA
qacA	Staphylococcus_aureus	N213_BC06	qacA
qacA	Staphylococcus_aureus	N214_BC10	qacA
qacA	Staphylococcus_aureus	N215_BC10	qacA
qacA	Staphylococcus_aureus	N216_BC02	qacA
qacA	Staphylococcus_aureus	N216_BC10	qacA
qacA	Staphylococcus_aureus	N217_BC02	qacA
qacA	Staphylococcus_aureus	N217_BC06	qacA
qacA	Staphylococcus_aureus	N219_BC09	qacA
qacA	Staphylococcus_aureus	N220_BC07	qacA
qacA	Staphylococcus_aureus	N221_BC08	qacA
qacA	Staphylococcus_aureus	N221_BC09	qacA
qacA	Staphylococcus_aureus	N222_BC05	qacA
qacA	Staphylococcus_aureus	N223_BC01	qacA
qacA	Staphylococcus_aureus	N223_BC02	qacA
qacA	Staphylococcus_aureus	N223_BC06	qacA
qacA	Staphylococcus_aureus	N224_BC07	qacA
qacA	Staphylococcus_aureus	N227_BC08	qacA
qacA	Staphylococcus_aureus	N229_BC06	qacA
qacA	Staphylococcus_aureus	N230_BC03	qacA
qacA	Staphylococcus_aureus	N231_BC09	qacA
qacA	Staphylococcus_aureus	N232_BC01	qacA
qacA	Staphylococcus_aureus	N238_BC11	qacA
qacA	Staphylococcus_aureus	N240_BC05	qacA
qacC_smr	Staphylococcus_capitis	N132_BC06	qacC_smr
qacA	Staphylococcus_capitis	N132_BC09	qacA
qacC_smr	Staphylococcus_capitis	N145_BC02	qacC_smr
qacA	Staphylococcus_capitis	N203_BC04	qacA
qacA	Staphylococcus_epidermidis	N100_BC09	qacA
qacA	Staphylococcus_epidermidis	N100_BC09	qacA
qacC_smr	Staphylococcus_epidermidis	N100_BC09	qacC_smr
qacA	Staphylococcus_epidermidis	N100_BC09	qacA
qacA	Staphylococcus_epidermidis	N100_BC10	qacA
qacC_smr	Staphylococcus_epidermidis	N100_BC10	qacC_smr
qacA	Staphylococcus_epidermidis	N101_BC02	qacA
qacC_smr	Staphylococcus_epidermidis	N101_BC02	qacC_smr
qacA	Staphylococcus_epidermidis	N101_BC12	qacA
qacC_smr	Staphylococcus_epidermidis	N101_BC12	qacC_smr
qacA	Staphylococcus_epidermidis	N102_BC01	qacA
qacC_smr	Staphylococcus_epidermidis	N102_BC01	qacC_smr
qacA	Staphylococcus_epidermidis	N102_BC12	qacA
qacC_smr	Staphylococcus_epidermidis	N102_BC12	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N110_BC10	qacC_smr
qacA	Staphylococcus_epidermidis	N112_BC12	qacA
qacC_smr	Staphylococcus_epidermidis	N112_BC12	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N113_BC04	qacC_smr
qacA	Staphylococcus_epidermidis	N113_BC08	qacA
qacC_smr	Staphylococcus_epidermidis	N113_BC08	qacC_smr
qacA	Staphylococcus_epidermidis	N113_BC09	qacA
qacC_smr	Staphylococcus_epidermidis	N113_BC09	qacC_smr
qacA	Staphylococcus_epidermidis	N116_BC01	qacA
qacC_smr	Staphylococcus_epidermidis	N116_BC01	qacC_smr
qacA	Staphylococcus_epidermidis	N119_BC04	qacA
qacA	Staphylococcus_epidermidis	N120_BC04	qacA
qacC_smr	Staphylococcus_epidermidis	N122_BC09	qacC_smr
qacA	Staphylococcus_epidermidis	N123_BC04	qacA
qacC_smr	Staphylococcus_epidermidis	N123_BC04	qacC_smr
qacA	Staphylococcus_epidermidis	N123_BC05	qacA
qacA	Staphylococcus_epidermidis	N124_BC10	qacA
qacC_smr	Staphylococcus_epidermidis	N124_BC10	qacC_smr
qacA	Staphylococcus_epidermidis	N124_BC11	qacA
qacC_smr	Staphylococcus_epidermidis	N124_BC11	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N124_BC12	qacC_smr
qacA	Staphylococcus_epidermidis	N124_BC12	qacA
qacA	Staphylococcus_epidermidis	N125_BC05	qacA
qacC_smr	Staphylococcus_epidermidis	N125_BC05	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N128_BC06	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N128_BC07	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N128_BC10	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N128_BC11	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N129_BC03	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N130_BC08	qacC_smr
qacA	Staphylococcus_epidermidis	N131_BC04	qacA
qacC_smr	Staphylococcus_epidermidis	N131_BC04	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N133_BC08	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N134_BC01	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N134_BC05	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N134_BC07	qacC_smr
qacA	Staphylococcus_epidermidis	N137_BC10	qacA
qacA	Staphylococcus_epidermidis	N137_BC10	qacA
qacC_smr	Staphylococcus_epidermidis	N137_BC10	qacC_smr
qacA	Staphylococcus_epidermidis	N141_BC02	qacA
qacA	Staphylococcus_epidermidis	N142_BC02	qacA
qacC_smr	Staphylococcus_epidermidis	N142_BC02	qacC_smr
qacA	Staphylococcus_epidermidis	N142_BC02	qacA
qacC_smr	Staphylococcus_epidermidis	N142_BC02	qacC_smr
qacA	Staphylococcus_epidermidis	N143_BC01	qacA
qacC_smr	Staphylococcus_epidermidis	N143_BC01	qacC_smr
qacA	Staphylococcus_epidermidis	N143_BC03	qacA
qacC_smr	Staphylococcus_epidermidis	N143_BC03	qacC_smr
qacA	Staphylococcus_epidermidis	N146_BC03	qacA
qacA	Staphylococcus_epidermidis	N146_BC03	qacA
qacC_smr	Staphylococcus_epidermidis	N146_BC03	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N146_BC03	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N147_BC05	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N147_BC08	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N148_BC09	qacC_smr
qacA	Staphylococcus_epidermidis	N149_BC10	qacA
qacC_smr	Staphylococcus_epidermidis	N149_BC10	qacC_smr
qacA	Staphylococcus_epidermidis	N152_BC07	qacA
qacC_smr	Staphylococcus_epidermidis	N152_BC07	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N152_BC07	qacC_smr
qacA	Staphylococcus_epidermidis	N152_BC09	qacA
qacC_smr	Staphylococcus_epidermidis	N152_BC09	qacC_smr
qacA	Staphylococcus_epidermidis	N153_BC02	qacA
qacC_smr	Staphylococcus_epidermidis	N153_BC02	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N153_BC09	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N154_BC06	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N157_BC04	qacC_smr
qacA	Staphylococcus_epidermidis	N157_BC06	qacA
qacC_smr	Staphylococcus_epidermidis	N157_BC06	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N158_BC02	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N163_BC12	qacC_smr
qacA	Staphylococcus_epidermidis	N164_BC11	qacA
qacC_smr	Staphylococcus_epidermidis	N164_BC11	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N166_BC08	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N166_BC09	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N166_BC09	qacC_smr
qacA	Staphylococcus_epidermidis	N166_BC10	qacA
qacC_smr	Staphylococcus_epidermidis	N166_BC10	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N166_BC11	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N166_BC12	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N167_BC05	qacC_smr
qacA	Staphylococcus_epidermidis	N169_BC12	qacA
qacC_smr	Staphylococcus_epidermidis	N169_BC12	qacC_smr
qacA	Staphylococcus_epidermidis	N170_BC02	qacA
qacC_smr	Staphylococcus_epidermidis	N170_BC02	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N173_BC03	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N173_BC05	qacC_smr
qacA	Staphylococcus_epidermidis	N174_BC07	qacA
qacC_smr	Staphylococcus_epidermidis	N174_BC07	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N174_BC07	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N174_BC07	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N175_BC05	qacC_smr
qacA	Staphylococcus_epidermidis	N175_BC05	qacA
qacC_smr	Staphylococcus_epidermidis	N175_BC05	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N175_BC06	qacC_smr
qacA	Staphylococcus_epidermidis	N175_BC06	qacA
qacA	Staphylococcus_epidermidis	N175_BC06	qacA
qacC_smr	Staphylococcus_epidermidis	N175_BC06	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N175_BC07	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N179_BC01	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N182_BC10	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N183_BC11	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N184_BC01	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N186_BC12	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N190_BC07	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N191_BC06	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N194_BC04	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N198_BC12	qacC_smr
qacA	Staphylococcus_epidermidis	N199_BC09	qacA
qacC_smr	Staphylococcus_epidermidis	N199_BC09	qacC_smr
qacA	Staphylococcus_epidermidis	N199_BC09	qacA
qacC_smr	Staphylococcus_epidermidis	N199_BC09	qacC_smr
qacA	Staphylococcus_epidermidis	N200_BC10	qacA
qacC_smr	Staphylococcus_epidermidis	N200_BC10	qacC_smr
qacA	Staphylococcus_epidermidis	N202_BC09	qacA
qacC_smr	Staphylococcus_epidermidis	N204_BC08	qacC_smr
qacA	Staphylococcus_epidermidis	N208_BC03	qacA
qacC_smr	Staphylococcus_epidermidis	N208_BC03	qacC_smr
qacA	Staphylococcus_epidermidis	N208_BC04	qacA
qacC_smr	Staphylococcus_epidermidis	N208_BC04	qacC_smr
qacA	Staphylococcus_epidermidis	N208_BC12	qacA
qacA	Staphylococcus_epidermidis	N210_BC06	qacA
qacC_smr	Staphylococcus_epidermidis	N210_BC06	qacC_smr
qacA	Staphylococcus_epidermidis	N210_BC07	qacA
qacC_smr	Staphylococcus_epidermidis	N210_BC07	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N211_BC02	qacC_smr
qacA	Staphylococcus_epidermidis	N212_BC05	qacA
qacA	Staphylococcus_epidermidis	N212_BC05	qacA
qacC_smr	Staphylococcus_epidermidis	N212_BC05	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N215_BC12	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N217_BC07	qacC_smr
qacC_smr	Staphylococcus_epidermidis	N218_BC11	qacC_smr
qacA	Staphylococcus_epidermidis	N218_BC11	qacA
qacA	Staphylococcus_epidermidis	N218_BC11	qacA
qacC_smr	Staphylococcus_epidermidis	N218_BC11	qacC_smr
qacA	Staphylococcus_epidermidis	N219_BC10	qacA
qacC_smr	Staphylococcus_epidermidis	N219_BC10	qacC_smr
qacA	Staphylococcus_epidermidis	N220_BC03	qacA
qacA	Staphylococcus_epidermidis	N224_BC08	qacA
qacC_smr	Staphylococcus_epidermidis	N224_BC08	qacC_smr
qacA	Staphylococcus_epidermidis	N225_BC11	qacA
qacA	Staphylococcus_epidermidis	N225_BC11	qacA
qacA	Staphylococcus_epidermidis	N226_BC11	qacA
qacA	Staphylococcus_epidermidis	N227_BC04	qacA
qacC_smr	Staphylococcus_epidermidis	N227_BC04	qacC_smr
qacA	Staphylococcus_epidermidis	N230_BC01	qacA
qacC_smr	Staphylococcus_epidermidis	N230_BC01	qacC_smr
qacA	Staphylococcus_epidermidis	N231_BC09	qacA
qacC_smr	Staphylococcus_epidermidis	N231_BC09	qacC_smr
qacA	Staphylococcus_epidermidis	N236_BC04	qacA
qacA	Staphylococcus_epidermidis	N236_BC04	qacA
qacA	Staphylococcus_haemolyticus	N103_BC04	qacA
qacA	Staphylococcus_haemolyticus	N103_BC04	qacA
qacA	Staphylococcus_haemolyticus	N103_BC04	qacA
qacA	Staphylococcus_haemolyticus	N103_BC08	qacA
qacA	Staphylococcus_haemolyticus	N103_BC08	qacA
qacA	Staphylococcus_haemolyticus	N103_BC10	qacA
qacA	Staphylococcus_haemolyticus	N103_BC11	qacA
qacA	Staphylococcus_haemolyticus	N103_BC12	qacA
qacA	Staphylococcus_haemolyticus	N103_BC12	qacA
qacA	Staphylococcus_haemolyticus	N103_BC12	qacA
qacC_smr	Staphylococcus_haemolyticus	N103_BC12	qacC_smr
qacA	Staphylococcus_haemolyticus	N104_BC09	qacA
qacA	Staphylococcus_haemolyticus	N105_BC03	qacA
qacA	Staphylococcus_haemolyticus	N105_BC04	qacA
qacC_smr	Staphylococcus_haemolyticus	N105_BC07	qacC_smr
qacC_smr	Staphylococcus_haemolyticus	N105_BC11	qacC_smr
qacA	Staphylococcus_haemolyticus	N105_BC11	qacA
qacA	Staphylococcus_haemolyticus	N105_BC11	qacA
qacA	Staphylococcus_haemolyticus	N105_BC11	qacA
qacA	Staphylococcus_haemolyticus	N105_BC12	qacA
qacA	Staphylococcus_haemolyticus	N112_BC11	qacA
qacA	Staphylococcus_haemolyticus	N113_BC05	qacA
qacA	Staphylococcus_haemolyticus	N113_BC05	qacA
qacA	Staphylococcus_haemolyticus	N113_BC07	qacA
qacA	Staphylococcus_haemolyticus	N117_BC09	qacA
qacA	Staphylococcus_haemolyticus	N118_BC07	qacA
qacA	Staphylococcus_haemolyticus	N118_BC07	qacA
qacA	Staphylococcus_haemolyticus	N118_BC11	qacA
qacA	Staphylococcus_haemolyticus	N118_BC11	qacA
qacA	Staphylococcus_haemolyticus	N118_BC12	qacA
qacA	Staphylococcus_haemolyticus	N118_BC12	qacA
qacA	Staphylococcus_haemolyticus	N119_BC01	qacA
qacA	Staphylococcus_haemolyticus	N119_BC06	qacA
qacA	Staphylococcus_haemolyticus	N120_BC04	qacA
qacA	Staphylococcus_haemolyticus	N120_BC04	qacA
qacA	Staphylococcus_haemolyticus	N120_BC06	qacA
qacA	Staphylococcus_haemolyticus	N120_BC06	qacA
qacA	Staphylococcus_haemolyticus	N120_BC07	qacA
qacA	Staphylococcus_haemolyticus	N120_BC07	qacA
qacC_smr	Staphylococcus_haemolyticus	N120_BC10	qacC_smr
qacC_smr	Staphylococcus_haemolyticus	N121_BC01	qacC_smr
qacA	Staphylococcus_haemolyticus	N121_BC03	qacA
qacA	Staphylococcus_haemolyticus	N121_BC08	qacA
qacA	Staphylococcus_haemolyticus	N123_BC01	qacA
qacA	Staphylococcus_haemolyticus	N123_BC01	qacA
qacA	Staphylococcus_haemolyticus	N123_BC09	qacA
qacA	Staphylococcus_haemolyticus	N123_BC09	qacA
qacA	Staphylococcus_haemolyticus	N123_BC12	qacA
qacA	Staphylococcus_haemolyticus	N123_BC12	qacA
qacA	Staphylococcus_haemolyticus	N124_BC04	qacA
qacC_smr	Staphylococcus_haemolyticus	N124_BC04	qacC_smr
qacC_smr	Staphylococcus_haemolyticus	N124_BC05	qacC_smr
qacA	Staphylococcus_haemolyticus	N125_BC09	qacA
qacA	Staphylococcus_haemolyticus	N125_BC10	qacA
qacC_smr	Staphylococcus_haemolyticus	N126_BC09	qacC_smr
qacC_smr	Staphylococcus_haemolyticus	N126_BC12	qacC_smr
qacA	Staphylococcus_haemolyticus	N127_BC06	qacA
qacA	Staphylococcus_haemolyticus	N127_BC06	qacA
qacA	Staphylococcus_haemolyticus	N128_BC02	qacA
qacA	Staphylococcus_haemolyticus	N128_BC02	qacA
qacA	Staphylococcus_haemolyticus	N130_BC07	qacA
qacA	Staphylococcus_haemolyticus	N130_BC07	qacA
qacA	Staphylococcus_haemolyticus	N131_BC06	qacA
qacC_smr	Staphylococcus_haemolyticus	N131_BC06	qacC_smr
qacA	Staphylococcus_haemolyticus	N133_BC07	qacA
qacA	Staphylococcus_haemolyticus	N133_BC08	qacA
qacC_smr	Staphylococcus_haemolyticus	N133_BC08	qacC_smr
qacA	Staphylococcus_haemolyticus	N133_BC08	qacA
qacA	Staphylococcus_haemolyticus	N133_BC08	qacA
qacA	Staphylococcus_haemolyticus	N133_BC08	qacA
qacA	Staphylococcus_haemolyticus	N133_BC10	qacA
qacC_smr	Staphylococcus_haemolyticus	N133_BC10	qacC_smr
qacA	Staphylococcus_haemolyticus	N134_BC01	qacA
qacC_smr	Staphylococcus_haemolyticus	N134_BC01	qacC_smr
qacA	Staphylococcus_haemolyticus	N134_BC01	qacA
qacA	Staphylococcus_haemolyticus	N135_BC02	qacA
qacC_smr	Staphylococcus_haemolyticus	N135_BC02	qacC_smr
qacA	Staphylococcus_haemolyticus	N135_BC03	qacA
qacC_smr	Staphylococcus_haemolyticus	N135_BC03	qacC_smr
qacA	Staphylococcus_haemolyticus	N135_BC05	qacA
qacA	Staphylococcus_haemolyticus	N137_BC10	qacA
qacC_smr	Staphylococcus_haemolyticus	N137_BC10	qacC_smr
qacC_smr	Staphylococcus_haemolyticus	N139_BC01	qacC_smr
qacA	Staphylococcus_haemolyticus	N139_BC11	qacA
qacA	Staphylococcus_haemolyticus	N140_BC12	qacA
qacA	Staphylococcus_haemolyticus	N140_BC12	qacA
qacA	Staphylococcus_haemolyticus	N140_BC12	qacA
qacC_smr	Staphylococcus_haemolyticus	N141_BC03	qacC_smr
qacC_smr	Staphylococcus_haemolyticus	N141_BC03	qacC_smr
qacA	Staphylococcus_haemolyticus	N143_BC10	qacA
qacA	Staphylococcus_haemolyticus	N143_BC10	qacA
qacA	Staphylococcus_haemolyticus	N143_BC12	qacA
qacA	Staphylococcus_haemolyticus	N144_BC01	qacA
qacC_smr	Staphylococcus_haemolyticus	N144_BC01	qacC_smr
qacA	Staphylococcus_haemolyticus	N144_BC01	qacA
qacA	Staphylococcus_haemolyticus	N144_BC01	qacA
qacA	Staphylococcus_haemolyticus	N144_BC04	qacA
qacA	Staphylococcus_haemolyticus	N144_BC04	qacA
qacC_smr	Staphylococcus_haemolyticus	N144_BC04	qacC_smr
qacA	Staphylococcus_haemolyticus	N144_BC04	qacA
qacA	Staphylococcus_haemolyticus	N144_BC06	qacA
qacA	Staphylococcus_haemolyticus	N144_BC10	qacA
qacA	Staphylococcus_haemolyticus	N144_BC10	qacA
qacA	Staphylococcus_haemolyticus	N145_BC05	qacA
qacA	Staphylococcus_haemolyticus	N145_BC06	qacA
qacA	Staphylococcus_haemolyticus	N146_BC09	qacA
qacC_smr	Staphylococcus_haemolyticus	N146_BC09	qacC_smr
qacA	Staphylococcus_haemolyticus	N147_BC02	qacA
qacA	Staphylococcus_haemolyticus	N147_BC02	qacA
qacA	Staphylococcus_haemolyticus	N147_BC03	qacA
qacC_smr	Staphylococcus_haemolyticus	N147_BC03	qacC_smr
qacA	Staphylococcus_haemolyticus	N147_BC03	qacA
qacA	Staphylococcus_haemolyticus	N147_BC10	qacA
qacA	Staphylococcus_haemolyticus	N147_BC10	qacA
qacA	Staphylococcus_haemolyticus	N149_BC07	qacA
qacA	Staphylococcus_haemolyticus	N149_BC07	qacA
qacA	Staphylococcus_haemolyticus	N149_BC07	qacA
qacA	Staphylococcus_haemolyticus	N149_BC08	qacA
qacA	Staphylococcus_haemolyticus	N150_BC01	qacA
qacA	Staphylococcus_haemolyticus	N151_BC01	qacA
qacA	Staphylococcus_haemolyticus	N151_BC01	qacA
qacA	Staphylococcus_haemolyticus	N151_BC03	qacA
qacA	Staphylococcus_haemolyticus	N151_BC03	qacA
qacA	Staphylococcus_haemolyticus	N152_BC11	qacA
qacC_smr	Staphylococcus_haemolyticus	N152_BC11	qacC_smr
qacC_smr	Staphylococcus_haemolyticus	N152_BC11	qacC_smr
qacA	Staphylococcus_haemolyticus	N155_BC05	qacA
qacA	Staphylococcus_haemolyticus	N155_BC08	qacA
qacA	Staphylococcus_haemolyticus	N155_BC08	qacA
qacA	Staphylococcus_haemolyticus	N156_BC05	qacA
qacA	Staphylococcus_haemolyticus	N157_BC03	qacA
qacA	Staphylococcus_haemolyticus	N157_BC06	qacA
qacC_smr	Staphylococcus_haemolyticus	N157_BC06	qacC_smr
qacA	Staphylococcus_haemolyticus	N157_BC06	qacA
qacA	Staphylococcus_haemolyticus	N157_BC07	qacA
qacC_smr	Staphylococcus_haemolyticus	N157_BC07	qacC_smr
qacC_smr	Staphylococcus_haemolyticus	N158_BC03	qacC_smr
qacA	Staphylococcus_haemolyticus	N158_BC03	qacA
qacA	Staphylococcus_haemolyticus	N158_BC03	qacA
qacA	Staphylococcus_haemolyticus	N158_BC03	qacA
qacA	Staphylococcus_haemolyticus	N158_BC06	qacA
qacA	Staphylococcus_haemolyticus	N158_BC06	qacA
qacA	Staphylococcus_haemolyticus	N158_BC06	qacA
qacA	Staphylococcus_haemolyticus	N159_BC05	qacA
qacA	Staphylococcus_haemolyticus	N159_BC05	qacA
qacA	Staphylococcus_haemolyticus	N159_BC06	qacA
qacA	Staphylococcus_haemolyticus	N159_BC06	qacA
qacA	Staphylococcus_haemolyticus	N159_BC09	qacA
qacA	Staphylococcus_haemolyticus	N159_BC11	qacA
qacA	Staphylococcus_haemolyticus	N160_BC10	qacA
