Nanopore_ID	Plasmid_ID	Contig_ID	Sequence_size	Number_of_AR_genes	AR_gene_list	Best_blast_hit	Fraction_aligned	Percent_identity	novel	clusters
32	N140_BC03	p_103	tig00002365	6786	0	NA	Acinetobacter baumannii SDF plasmid p1ABSDF, complete genome	0.107	75.07	yes	9
33	N190_BC04	p_108	tig00000163	2090	0	NA	Enterococcus faecium isolate 2014-VREF-268 plasmid p268-2 sequence	0.99	97.499	yes	24
34	N168_BC10	p_117	tig00000465	7120	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT8252, complete sequence	0.679	89.569	yes	11
35	N168_BC10	p_118	tig00013467	7702	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.668	93.504	yes	8
36	N181_BC12	p_120	tig00000021	5891	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.549	85.44	yes	33
37	N229_BC05	p_125	tig00000051	33198	0	NA	Enterobacter cloacae strain MS7884A plasmid pMS7884B, complete sequence	0.509	89.455	yes	71
38	N229_BC05	p_127	tig00000151	3980	0	NA	Bacillus thuringiensis serovar chinensis CT-43 plasmid pCT6880, complete sequence	0.483	90.105	yes	39
39	N229_BC05	p_128	tig00000021	2743	0	NA	Escherichia coli plasmid pV437-b DNA, contig: V437-b scaffold 4, strain: V437	0.342	79.79	yes	78
40	N229_BC05	p_129	tig00000770	4462	0	NA	Klebsiella oxytoca (plasmid pNBL63) RNA I, RNA II, rom and exc1 genes	0.325	78.43	yes	81
41	N229_BC05	p_130	tig00005764	4451	0	NA	Klebsiella oxytoca (plasmid pNBL63) RNA I, RNA II, rom and exc1 genes	0.322	78.58	yes	81
42	N229_BC05	p_131	tig00000769	4433	0	NA	Klebsiella oxytoca (plasmid pNBL63) RNA I, RNA II, rom and exc1 genes	0.285	77.929	yes	81
43	N229_BC05	p_132	tig00000025	9008	0	NA	Bacillus sp. FDAARGOS 235 plasmid 3, complete sequence	0.267	87.429	yes	88
44	N229_BC05	p_133	tig00000020	93073	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p101287, complete sequence	0.079	94.545	yes	89
45	N104_BC07	p_134	tig00000044	27535	1	AacAad;	Pseudomonas aeruginosa plasmid pJB35, complete sequence	0.363	84.975	yes	15
46	N224_BC05	p_137	tig00000136	71702	0	NA	Bacillus thuringiensis strain HD1011 plasmid 3, complete sequence	0.335	89.531	yes	92
47	N121_BC02	p_140	tig00000008	37388	0	NA	Staphylococcus epidermidis strain SP1 plasmid pSP01, complete sequence	0.111	87.33	yes	49
48	N124_BC12	p_147	tig00000186	18330	0	NA	Bacillus thuringiensis strain HD12 plasmid pHD120017, complete sequence	0.769	88.98	yes	104
49	N124_BC12	p_149	tig00000001	535432	1	VanS-A;	Bacillus cereus C1L plasmid pC1L1, complete sequence	0.483	94.171	yes	110
50	N124_BC12	p_150	tig00000057	24670	0	NA	Staphylococcus cohnii strain SNUDS-2 plasmid pSC-SNUDS-2-1, complete sequence	0.39	91.062	yes	111
51	N148_BC02	p_158	tig00001564	3447	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.613	88.341	yes	10
52	N148_BC02	p_159	tig00000031	3439	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.601	88.141	yes	10
53	N148_BC02	p_161	tig00001565	3432	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.573	86.389	yes	10
54	N167_BC11	p_163	tig00000079	181278	0	NA	Alicycliphilus denitrificans BC plasmid pALIDE02, complete sequence	0.076	94.019	yes	53
55	N160_BC09	p_165	tig00000024	7117	0	NA	Klebsiella pneumoniae strain INF158 plasmid unnamed6, complete sequence	0.385	85.532	yes	135
56	N115_BC02	p_174	tig00000005	12931	0	NA	Bacillus thuringiensis serovar tenebrionis plasmid pBMB175, complete sequence	0.732	89.012	yes	142
57	N212_BC11	p_176	tig00000027	165610	0	NA	Bacillus sp. FDAARGOS 235 plasmid 1, complete sequence	0.484	87.745	yes	145
58	N204_BC09	p_180	tig00000172	83156	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p120416, complete sequence	0.339	86.036	yes	29
59	N204_BC09	p_181	tig00000156	114401	0	NA	Bacillus cereus strain MLY1 plasmid pMLY1.1, complete sequence	0.265	91.926	yes	30
60	N204_BC09	p_182	tig00000141	214931	0	NA	Bacillus thuringiensis YBT-1518 plasmid pBMB0233, complete sequence	0.178	85.317	yes	31
61	N204_BC09	p_183	tig00000154	114445	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p150790, complete sequence	0.176	86.493	yes	32
62	N226_BC03	p_188	tig00000626	14575	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.91	92.55	yes	1
63	N226_BC03	p_189	tig00001966	10172	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.738	92.985	yes	1
64	N226_BC03	p_192	tig00000638	3969	0	NA	Bacillus thuringiensis strain 4Q2 plasmid pTX14-2, complete sequence	0.437	93.104	yes	39
65	N226_BC03	p_193	tig00000615	3968	0	NA	Bacillus thuringiensis plasmid pGI2 with transposon Tn4430	0.402	93.207	yes	39
66	N160_BC04	p_195	tig00000335	2962	0	NA	Staphylococcus simulans bv. staphylolyticus strain NRRL B-2628 plasmid pACK2, complete sequence	0.846	81.879	yes	174
67	N160_BC04	p_196	tig00000389	9031	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.759	89.865	yes	8
68	N160_BC04	p_198	tig00000353	8468	0	NA	Staphylococcus epidermidis ATCC 12228 plasmid pSE-12228-06, complete sequence	0.569	88.14	yes	177
69	N160_BC04	p_199	tig00000308	3213	0	NA	Staphylococcus aureus strain SR434 plasmid pSR03, complete genome	0.465	88.161	yes	179
70	N160_BC04	p_200	tig00002336	94866	0	NA	Bacillus mycoides strain Gnyt1 plasmid unnamed4, complete sequence	0.462	89.622	yes	96
71	N160_BC04	p_202	tig00000193	113843	0	NA	Bacillus thuringiensis YBT-1518 plasmid pBMB0233, complete sequence	0.258	90.399	yes	30
72	N160_BC04	p_203	tig00000372	9453	0	NA	Staphylococcus argenteus MSHR1132 plasmid pST75 complete sequence	0.092	97.66	yes	182
73	N189_BC08	p_208	tig00000086	17014	0	NA	Staphylococcus pseudintermedius strain HR547/11 plasmid pKM01, complete sequence	0.138	75.487	yes	85
74	N132_BC01	p_212	tig00000070	10042	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.931	91.47	yes	1
75	N132_BC01	p_215	tig00000014	4778	0	NA	Bacillus cereus strain CC-1 plasmid p1, complete sequence	0.672	88.84	yes	37
76	N132_BC01	p_219	tig00000023	6874	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.516	86.618	yes	10
77	N132_BC01	p_220	tig00000047	7062	0	NA	Bacillus cereus strain CC-1 plasmid p3, complete sequence	0.509	92.137	yes	121
78	N132_BC01	p_221	tig00000020	3933	0	NA	Bacillus thuringiensis strain 4Q2 plasmid pTX14-2, complete sequence	0.474	92.16	yes	39
79	N132_BC01	p_222	tig00000079	11797	0	NA	Bacillus sp. FDAARGOS 235 plasmid 3, complete sequence	0.209	83.658	yes	88
80	N183_BC12	p_229	tig00000029	4479	0	NA	Bacillus thuringiensis serovar entomocidus plasmid pUIBI-1, complete sequence	0.475	90.568	yes	20
81	N183_BC12	p_231	tig00000019	95791	0	NA	Bacillus cereus strain MLY1 plasmid pMLY1.2, complete sequence	0.384	92.604	yes	62
82	N183_BC12	p_233	tig00000287	4154	0	NA	Bacillus thuringiensis strain YGd22-03 plasmid pYGD83, complete sequence	0.292	85.117	yes	22
83	N183_BC12	p_234	tig00000126	4307	0	NA	Bacillus toyonensis BCT-7112 plasmid pBCT8, complete sequence	0.285	80.32	yes	23
84	N183_BC12	p_235	tig00001253	8106	0	NA	Bacillus toyonensis BCT-7112 plasmid pBCT8, complete sequence	0.226	81.735	yes	99
85	N183_BC12	p_236	tig00000242	4280	0	NA	Bacillus thuringiensis plasmid pTX14-1, MOB, REP, and collagen-like protein genes, complete sequence	0.182	76.34	yes	63
86	N183_BC12	p_237	tig00001252	8244	0	NA	Bacillus cereus H3081.97 plasmid pH308197 10, complete sequence	0.083	81.72	yes	99
87	N151_BC05	p_243	tig00000009	2779	0	NA	Acinetobacter sp. M131 plasmid pM131-9, complete sequence	0.111	75.2	yes	43
88	N228_BC01	p_247	tig00000231	2207	0	NA	Lactococcus lactis plasmid pCRL291.1, complete sequence	0.76	80.942	yes	224
89	N228_BC01	p_248	tig00005362	70124	0	NA	Bacillus cereus strain M13 plasmid pBCM1301, complete sequence	0.664	95.202	yes	226
90	N228_BC01	p_250	tig00005358	88607	0	NA	Bacillus thuringiensis serovar israelensis strain AM65-52 plasmid pAM65-52-5-100K, complete sequence	0.406	92.763	yes	194
91	N228_BC01	p_251	tig00005364	49753	0	NA	Bacillus thuringiensis serovar tenebrionis str. YBT-1765 plasmid pBMB165, complete sequence	0.339	85.139	yes	230
92	N165_BC04	p_253	tig00000033	5465	0	NA	Acinetobacter pittii strain IEC338SC plasmid pIEC338SC3, complete sequence	0.873	92.332	yes	40
93	N165_BC04	p_255	tig00000028	5473	0	NA	Acinetobacter pittii strain IEC338SC plasmid pIEC338SC3, complete sequence	0.855	92.155	yes	40
94	N183_BC07	p_257	tig00000201	30784	0	NA	Bacillus cereus H3081.97 plasmid pH308197 29, complete sequence	0.04	81.52	yes	235
95	N135_BC05	p_263	tig00000004	11060	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.424	90.727	yes	103
96	N196_BC11	p_264	tig00000055	62084	4	TetC;AadB;SulI;Aph3''Ia;	Uncultured bacterium plasmid pRSB105, complete sequence	0.358	96.513	yes	116
97	N196_BC11	p_265	tig00000050	195019	0	NA	Delftia acidovorans plasmid pMC1, partial sequence	0.064	90.732	yes	53
98	N216_BC12	p_267	tig00000051	18677	0	NA	Escherichia coli MH13-051M plasmid pMH13-051M 2 DNA, complete genome	0.221	98.175	yes	187
99	N225_BC03	p_271	tig00000396	6227	0	NA	Enterococcus faecium strain 2014-VREF-41 plasmid p41-2, complete sequence	1.008	97.99	yes	7
100	N225_BC03	p_276	tig00018870	9075	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.724	88.496	yes	8
101	N174_BC05	p_279	tig00000060	41791	0	NA	Acinetobacter junii strain WCHAJ59 plasmid p1 010059, complete sequence	0.235	92.726	yes	256
102	N219_BC07	p_286	tig00000066	94497	0	NA	Bacillus cereus strain MLY1 plasmid pMLY1.2, complete sequence	0.452	92.641	yes	62
103	N219_BC07	p_287	tig00000064	4150	0	NA	Bacillus mycoides strain 219298 plasmid, complete sequence	0.299	79.08	yes	22
104	N219_BC07	p_289	tig00000087	16179	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p46701, complete sequence	0.257	91.488	yes	64
105	N219_BC07	p_290	tig00000185	4263	0	NA	Bacillus thuringiensis plasmid pTX14-1, MOB, REP, and collagen-like protein genes, complete sequence	0.223	76.3	yes	63
106	N181_BC11	p_294	tig00000044	4090	0	NA	Staphylococcus aureus strain RIVM0677 plasmid pRIVM0677, complete sequence	0.775	90.714	yes	211
107	N181_BC11	p_295	tig00000054	58899	0	NA	Staphylococcus sp. CDC3 plasmid SAP020A, complete sequence	0.762	80.986	yes	223
108	N140_BC02	p_298	tig00000011	136683	0	NA	Aeromonas salmonicida subsp. salmonicida strain JF2267 plasmid pAsa4c, complete sequence	0.716	88.845	yes	2
109	N140_BC02	p_301	tig00003488	96548	0	NA	Acinetobacter sp. ACNIH2 plasmid pACI-3569, complete sequence	0.427	92.158	yes	6
110	N217_BC01	p_304	tig00000088	5509	0	NA	Acinetobacter pittii strain IEC338SC plasmid pIEC338SC3, complete sequence	0.836	91.466	yes	40
111	N181_BC02	p_311	tig00000146	2034	0	NA	Enterococcus faecium isolate Ef aus00233 genome assembly, plasmid: 5	1.006	98.711	yes	24
112	N185_BC04	p_313	tig00000062	195046	0	NA	Delftia acidovorans plasmid pMC1, partial sequence	0.08	87.721	yes	53
113	N175_BC04	p_315	tig00000046	62042	4	AadB;SulI;Aph3''Ia;TetC;	Uncultured bacterium plasmid pRSB105, complete sequence	0.353	96.306	yes	116
114	N175_BC04	p_316	tig00000023	195066	0	NA	Delftia acidovorans plasmid pMC1, partial sequence	0.065	90.748	yes	53
115	N201_BC11	p_319	tig00000369	7654	0	NA	Bacillus mycoides strain 219298 plasmid, complete sequence	0.513	88.086	yes	295
116	N238_BC11	p_323	tig00000126	5222	0	NA	Bacillus thuringiensis plasmid pBTm019A pA-ORF1, mo19cp78b, pA-ORF2, mob, rep, m019cp78b genes for hypothetical protein, M019CP78B, hypothetical protein, recombination enzyme, replication initiation protein, M019CP78A, complete cds	0.636	90.615	yes	148
117	N238_BC11	p_324	tig00000109	75186	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p120416, complete sequence	0.369	88.756	yes	301
118	N238_BC11	p_325	tig00000092	98162	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p120416, complete sequence	0.331	84.954	yes	302
119	N238_BC11	p_326	tig00000160	113756	0	NA	Bacillus cereus strain MLY1 plasmid pMLY1.2, complete sequence	0.273	90.466	yes	62
120	N238_BC11	p_327	tig00000073	3976	0	NA	Bacillus toyonensis BCT-7112 plasmid pBCT8, complete sequence	0.222	80.58	yes	23
121	N238_BC11	p_328	tig00000075	5363	0	NA	Bacillus cereus 03BB108 plasmid pBFI 7, complete sequence	0.192	88.89	yes	21
122	N110_BC08	p_329	tig00000117	6165	0	NA	Enterococcus faecium strain 2014-VREF-41 plasmid p41-2, complete sequence	0.979	96.321	yes	7
123	N110_BC08	p_332	tig00000018	9034	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.69	91.766	yes	8
124	N110_BC08	p_333	tig00000009	4801	0	NA	Bacillus cereus strain CC-1 plasmid p1, complete sequence	0.667	87.669	yes	37
125	N110_BC08	p_336	tig00000024	7560	0	NA	Enterococcus sp. FDAARGOS 375 plasmid unnamed1, complete sequence	0.481	90.09	yes	94
126	N160_BC11	p_343	tig00005169	47483	1	SulII;	Acinetobacter schindleri strain SGAir0122 plasmid pSGAir0122, complete sequence	0.389	92.412	yes	310
127	N185_BC11	p_354	tig00000069	5176	0	NA	Enterococcus faecium strain ISMMS VRE 4 plasmid ISMMS VRE4 p5, complete sequence	1.016	97.893	yes	105
128	N185_BC11	p_355	tig00000068	6240	0	NA	Enterococcus faecium strain 2014-VREF-41 plasmid p41-2, complete sequence	1.006	98.361	yes	7
129	N185_BC11	p_360	tig00000044	1912	0	NA	Enterococcus faecium strain E745 plasmid pl2, complete sequence	0.991	98.088	yes	106
130	N230_BC05	p_362	tig00000391	10168	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.813	93.427	yes	1
131	N230_BC05	p_364	tig00000412	9068	0	NA	Bacillus thuringiensis serovar kurstaki str. YBT-1520 plasmid pBMB7921, complete sequence	0.679	88.816	yes	8
132	N190_BC03	p_368	tig00000219	2016	0	NA	Enterococcus faecium isolate Ef aus00233 genome assembly, plasmid: 5	1.009	97.378	yes	24
133	N114_BC02	p_378	tig00000030	3440	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.588	87.605	yes	10
134	N114_BC02	p_379	tig00000028	19687	2	AadD;ErmC;	Staphylococcus arlettae strain SA-01 plasmid pSA-01, complete sequence	0.256	96.788	yes	325
135	N220_BC06	p_380	tig00000200	48385	0	NA	Bacillus cereus D17 plasmid, complete sequence	0.057	91.25	yes	210
136	N105_BC09	p_388	tig00000004	2450	1	LnuA;	Staphylococcus aureus subsp. aureus strain LA-MRSA ST398 plasmid plinE154, complete sequence	0.871	82.133	yes	176
137	N110_BC11	p_393	tig00000009	2017	0	NA	Enterococcus faecium isolate 2014-VREF-268 plasmid p268-2 sequence	1.006	97.371	yes	24
138	N110_BC11	p_399	tig00000025	1240	0	NA	Staphylococcus aureus plasmid SAP052A, complete sequence	0.945	80.029	yes	19
139	N110_BC11	p_401	tig00000015	1301	0	NA	Staphylococcus aureus plasmid SAP052A, complete sequence	0.782	82.912	yes	338
140	N214_BC02	p_415	tig00006029	41276	0	NA	Bacillus thuringiensis strain Bt185 plasmid pBT1850042, complete sequence	0.661	86.738	yes	365
141	N210_BC09	p_422	tig00000567	4613	0	NA	Bacillus thuringiensis serovar entomocidus plasmid pUIBI-1, complete sequence	0.785	86.11	yes	190
142	N210_BC09	p_423	tig00000309	67375	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p55166, complete sequence	0.629	93.75	yes	72
143	N210_BC09	p_424	tig00001254	8508	0	NA	Staphylococcus lugdunensis strain VISLISI 27 plasmid pVISLISI 2 complete sequence	0.553	94.501	yes	368
144	N210_BC09	p_425	tig00002416	4832	0	NA	Bacillus thuringiensis serovar entomocidus plasmid pUIBI-1, complete sequence	0.481	85.401	yes	190
145	N210_BC09	p_426	tig00002402	68231	0	NA	Bacillus thuringiensis strain MYBT18246 plasmid p120416, complete sequence	0.475	85.972	yes	61
146	N210_BC09	p_427	tig00000299	4320	0	NA	Bacillus toyonensis BCT-7112 plasmid pBCT8, complete sequence	0.363	80.075	yes	23
147	N210_BC09	p_428	tig00000630	9488	0	NA	Bacillus cereus strain CC-1 plasmid p3, complete sequence	0.356	91.085	yes	23
148	N210_BC09	p_429	tig00000424	4157	0	NA	Bacillus thuringiensis strain YGd22-03 plasmid pYGD83, complete sequence	0.302	85.65	yes	22
149	N210_BC09	p_430	tig00000900	9608	0	NA	Bacillus mycoides strain 219298 plasmid, complete sequence	0.237	87.46	yes	164
150	N210_BC09	p_431	tig00002413	4324	0	NA	Bacillus thuringiensis plasmid pTX14-1, MOB, REP, and collagen-like protein genes, complete sequence	0.192	76.28	yes	63
151	N203_BC07	p_436	tig00000090	3473	0	NA	Staphylococcus aureus subsp. aureus strain 1971.C01 plasmid p1971.C01c, complete sequence	0.618	86.535	yes	10
152	N213_BC08	p_441	tig00000038	15764	0	NA	Acinetobacter haemolyticus strain TJS01 plasmid pAHTJS2, complete sequence	0.508	87.72	yes	337
153	N202_BC02	p_447	tig00009447	4292	0	NA	Acinetobacter lwoffii strain ZS207 plasmid pmZS sequence	0.573	89.785	yes	378
154	N202_BC02	p_448	tig00001144	10278	0	NA	Acinetobacter lwoffii strain VS15 plasmid pALWVS1.1, complete sequence	0.57	94.296	yes	379
155	N202_BC02	p_449	tig00000508	3584	0	NA	Staphylococcus aureus strain RIVM6519 plasmid pRIVM6519-2, complete sequence	0.527	88.748	yes	380
156	N202_BC02	p_451	tig00009429	14591	0	NA	Acinetobacter lwoffii strain ZS207 plasmid pmZS sequence	0.411	90.331	yes	382
157	N202_BC02	p_454	tig00009437	7170	0	NA	Acinetobacter sp. M131 plasmid pM131-6, complete sequence	0.336	74.66	yes	386
158	N234_BC09	p_458	tig00000206	6233	0	NA	Enterococcus faecium strain 2014-VREF-41 plasmid p41-2, complete sequence	1	97.741	yes	7
159	N234_BC09	p_464	tig00000062	7673	0	NA	Enterococcus sp. FDAARGOS 375 plasmid unnamed1, complete sequence	0.528	91.869	yes	94
160	N234_BC09	p_465	tig00000070	69326	4	TetS;CatA;Aac6-Aph2;ErmB;	Enterococcus sp. FDAARGOS 375 plasmid unnamed1, complete sequence	0.414	97.618	yes	95
161	N207_BC02	p_468	tig00000040	2009	0	NA	Escherichia coli strain EC71 plasmid pEC71-1 replication protein and mobilization protein genes, complete cds	0.831	89.296	yes	397
162	N207_BC02	p_469	tig00000029	4873	0	NA	Uncultured prokaryote from Rat gut metagenome metamobilome, plasmid pRGRH0369	0.808	92.524	yes	293
163	N207_BC02	p_470	tig00000032	3565	0	NA	Klebsiella pneumoniae strain INF322 plasmid unnamed3, complete sequence	0.396	81.828	yes	129
164	N157_BC09	p_474	tig00000100	2104	0	NA	Staphylococcus aureus plasmid pWBG754, complete sequence	0.914	84.392	yes	60
165	N196_BC04	p_485	tig00000686	4258	0	NA	Bacillus thuringiensis plasmid pTX14-1, MOB, REP, and collagen-like protein genes, complete sequence	0.352	76.21	yes	63
166	N196_BC04	p_486	tig00000604	4316	0	NA	Bacillus cereus E33L plasmid pBCO 4, complete sequence	0.316	81.183	yes	23
167	N196_BC04	p_487	tig00000307	51225	0	NA	Bacillus thuringiensis strain Bt185 plasmid pBT1850055, complete sequence	0.266	87.54	yes	65
168	N196_BC04	p_488	tig00000586	4137	0	NA	Bacillus thuringiensis strain YGd22-03 plasmid pYGD83, complete sequence	0.266	85.515	yes	22
169	N196_BC04	p_489	tig00000582	4302	0	NA	Bacillus thuringiensis YBT-1518 plasmid pBMB0228, complete sequence	0.258	90.825	yes	23
170	N196_BC04	p_490	tig00000537	4108	0	NA	Bacillus thuringiensis strain YGd22-03 plasmid pYGD83, complete sequence	0.241	84.885	yes	22
171	N196_BC04	p_491	tig00000506	5764	0	NA	Bacillus cereus 03BB108 plasmid pBFI 3, complete sequence	0.185	71.89	yes	74
172	N123_BC08	p_494	tig00000002	176216	0	NA	Acinetobacter sp. ACNIH2 plasmid pACI-3569, complete sequence	0.326	93.692	yes	311
173	N195_BC04	p_497	tig00000147	197836	0	NA	Bacillus thuringiensis strain SCG04-02 plasmid PSCG364, complete sequence	0.7	92.763	yes	123
174	N195_BC04	p_499	tig00000215	87964	0	NA	Bacillus cereus C1L plasmid pC1L1, complete sequence	0.567	92.801	yes	38
175	N195_BC04	p_503	tig00000285	3939	0	NA	Bacillus thuringiensis strain 4Q2 plasmid pTX14-2, complete sequence	0.359	92.95	yes	39
176	N195_BC04	p_505	tig00000249	9393	0	NA	Bacillus cereus 03BB102 plasmid, complete sequence	0.115	98.09	yes	4
177	N206_BC05	p_509	tig00000320	10142	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.857	92.964	yes	1
178	N206_BC05	p_510	tig00013821	10160	0	NA	Bacillus cereus 03BB108 plasmid pBFI 6, complete sequence	0.792	93.81	yes	1
179	N206_BC05	p_512	tig00000178	4871	0	NA	Bacillus cereus strain CC-1 plasmid p1, complete sequence	0.574	89.827	yes	37
180	N142_BC02	p_515	tig00000023	3032	0	NA	Staphylococcus lugdunensis strain Tlug20G-4 plasmid pT20G, complete sequence	0.931	95.452	yes	124
181	N103_BC01	p_522	tig00000001	11069	0	NA	Staphylococcus epidermidis plasmid SAP024B, partial sequence	0.429	90.251	yes	103
182	N165_BC05	p_531	tig00000069	5583	0	NA	Acinetobacter pittii strain IEC338SC plasmid pIEC338SC3, complete sequence	0.827	92.352	yes	40
183	N106_BC10	p_537	tig00000001	10518	0	NA	Acinetobacter baumannii strain AF-401 plasmid pAF-401, complete sequence	0.544	90.935	yes	249
