Species_name	Nanopore_ID	Genome_ID	Sequence_size	N50	AR_gene_list	Genome_quality	novel	clusters
23	Staphylococcus capitis	N181_BC06	s_5323	2730759	1663195	MECA;Aac6-Aph2;	HIGH_QUAL	yes	33
24	Staphylococcus capitis	N203_BC06	s_5368	3149568	2070343		HIGH_QUAL	yes	33
25	Staphylococcus capitis	N114_BC03	s_5175	3333828	28966	BlaZ;Spc;ErmA;	MEDIUM_QUAL	yes	33
26	Staphylococcus capitis	N235_BC02	s_5410	2670108	292342	Aac6-Aph2;	HIGH_QUAL	yes	33
27	Staphylococcus capitis	N200_BC09	s_5361	2701296	2286118	MECA;Aac6-Aph2;	HIGH_QUAL	yes	33
28	Staphylococcus capitis	N218_BC02	s_5388	2549197	231838	Aac6-Aph2;	HIGH_QUAL	yes	33
29	Staphylococcus capitis	N136_BC10	s_5234	2873664	2650231	MECA;Aac6-Aph2;	HIGH_QUAL	yes	33
30	Staphylococcus capitis	N125_BC06	s_5206	1292415	39805		MEDIUM_QUAL	yes	33
31	Staphylococcus capitis	N176_BC06	s_5307	2708277	2681336	Aac6-Aph2;MECA;	HIGH_QUAL	yes	33
32	Staphylococcus capitis	N103_BC08	s_5152	2690350	787824	Aac6-Aph2;MECA;	HIGH_QUAL	yes	33
33	Staphylococcus capitis	N135_BC03	s_5232	2785891	2393491	MECA;Aac6-Aph2;MECA;	HIGH_QUAL	yes	33
34	Staphylococcus capitis	N188_BC05	s_5337	2888902	44131	Aac6-Aph2;AadD;MECA;ErmA;Spc;	HIGH_QUAL	yes	33
35	Staphylococcus capitis	N140_BC11	s_5239	2609033	222200	Aac6-Aph2;	HIGH_QUAL	yes	33
36	Staphylococcus capitis	N125_BC07	s_5207	2781304	2633294	MECA;Aac6-Aph2;	HIGH_QUAL	yes	33
37	Staphylococcus capitis	N131_BC09	s_5220	2044167	69580		MEDIUM_QUAL	yes	33
38	Staphylococcus capitis	N108_BC10	s_5163	1931978	70925	Aac6-Aph2;	MEDIUM_QUAL	yes	33
39	Staphylococcus capitis	N238_BC04	s_5415	2718257	2691217	Spc;Spc;Spc;ErmA;ErmA;ErmA;MECA;Aac6-Aph2;BlaZ;BlaZ;	HIGH_QUAL	yes	33
40	Staphylococcus capitis	N221_BC07	s_5391	2747385	929028	Aac6-Aph2;MECA;	HIGH_QUAL	yes	33
41	Staphylococcus capitis	N225_BC11	s_5397	2478654	388767	MECA;Aac6-Aph2;	HIGH_QUAL	yes	33
42	Staphylococcus capitis	N202_BC02	s_5363	2579797	1500487		HIGH_QUAL	yes	33
43	Staphylococcus capitis	N217_BC06	s_5387	2686600	2659874	BlaZ;	HIGH_QUAL	yes	33
44	Staphylococcus capitis	N165_BC06	s_5288	2664693	2638184	Aac6-Aph2;MECA;	HIGH_QUAL	yes	33
45	Staphylococcus capitis	N131_BC10	s_5221	1483510	40483		MEDIUM_QUAL	yes	33
46	Staphylococcus capitis	N169_BC03	s_5295	2640213	746334	MECA;Aac6-Aph2;	HIGH_QUAL	yes	33
47	Bacillus thuringiensis	N128_BC08	s_1868	2967169	105803		MEDIUM_QUAL	yes	7
48	Bacillus thuringiensis	N183_BC12	s_1940	3294646	54566		MEDIUM_QUAL	yes	5
49	Bacillus thuringiensis	N221_BC09	s_2077	2723643	69916	BLA;	MEDIUM_QUAL	yes	5
50	Bacillus thuringiensis	N238_BC12	s_2174	3944460	273792		MEDIUM_QUAL	yes	8
51	Bacillus thuringiensis	N118_BC06	s_1853	4109621	326077		MEDIUM_QUAL	yes	6
52	Bacillus thuringiensis	N219_BC01	s_2063	3908660	148132	BLA;	MEDIUM_QUAL	yes	8
53	Bacillus thuringiensis	N101_BC05	s_1841	2784073	35224		MEDIUM_QUAL	yes	5
54	Bacillus thuringiensis	N236_BC05	s_2162	3987935	82449	BLA;	MEDIUM_QUAL	yes	8
55	Bacillus thuringiensis	N162_BC02	s_1904	3341309	60297		MEDIUM_QUAL	yes	5
56	Elizabethkingia anophelis	N109_BC09	s_2903	4404038	4360308	B-1;	HIGH_QUAL	yes	16
57	Elizabethkingia anophelis	N167_BC01	s_2933	4428846	4372660	B-1;	HIGH_QUAL	yes	16
58	Elizabethkingia anophelis	N221_BC03	s_2969	2146539	1559135		MEDIUM_QUAL	yes	16
59	Stenotrophomonas maltophilia	N116_BC12	s_7298	4753696	1541584		HIGH_QUAL	yes	38
60	Stenotrophomonas maltophilia	N117_BC02	s_7299	4476991	2370554		HIGH_QUAL	yes	38
61	Stenotrophomonas maltophilia	N188_BC09	s_7310	4820701	4772845		HIGH_QUAL	yes	41
62	Stenotrophomonas maltophilia	N201_BC07	s_7313	3436354	60018		MEDIUM_QUAL	yes	38
63	Stenotrophomonas maltophilia	N228_BC08	s_7318	4825443	419676		HIGH_QUAL	yes	41
64	Stenotrophomonas maltophilia	N188_BC07	s_7309	4819392	4771547		HIGH_QUAL	yes	41
65	Stenotrophomonas maltophilia	N188_BC10	s_7311	4924578	4778932		HIGH_QUAL	yes	41
66	Stenotrophomonas maltophilia	N178_BC12	s_7308	4869965	174518	Aph3-IIc;	HIGH_QUAL	yes	40
67	Candida albicans	N235_BC07	s_2660	9179067	651172		MEDIUM_QUAL	yes	11
68	Elizabethkingia miricola	N253_barcode17	s_3123	4401873	4358158	NONE	HIGH_QUAL	yes	16
69	Elizabethkingia miricola	N161_BC04	s_3096	4393853	4350223	B-1;	HIGH_QUAL	yes	16
70	Elizabethkingia miricola	N109_BC06	s_3086	4410886	4367089	B-1;	HIGH_QUAL	yes	16
71	Elizabethkingia miricola	N161_BC05	s_3097	2911331	2882380		MEDIUM_QUAL	yes	16
72	Elizabethkingia miricola	N167_BC04	s_3105	4404662	4360925	B-1;	HIGH_QUAL	yes	16
73	Elizabethkingia miricola	N167_BC02	s_3104	3793843	3673552	B-1;	HIGH_QUAL	yes	16
74	Elizabethkingia miricola	N138_BC07	s_3094	4382813	4339293	B-1;	HIGH_QUAL	yes	16
75	Elizabethkingia miricola	N194_BC10	s_3115	3621798	3585813		MEDIUM_QUAL	yes	16
76	Elizabethkingia miricola	N217_BC08	s_3118	4389663	4346076	B-1;	HIGH_QUAL	yes	16
77	Elizabethkingia miricola	N171_BC04	s_3109	4403952	4360223	B-1;	HIGH_QUAL	yes	16
78	Elizabethkingia miricola	N161_BC06	s_3098	4402129	4358416	B-1;	HIGH_QUAL	yes	16
79	Elizabethkingia miricola	N253_barcode19	s_3124	4432809	4388789	NONE	HIGH_QUAL	yes	16
80	Elizabethkingia miricola	N239_BC03	s_3121	4439432	4395352	B-1;	HIGH_QUAL	yes	16
81	Elizabethkingia miricola	N109_BC10	s_3088	4399304	4355621	B-1;	HIGH_QUAL	yes	16
82	Burkholderia lata	N127_BC08	s_2518	7914240	3113755	AacAad;	HIGH_QUAL	yes	9
83	Burkholderia lata	N200_BC05	s_2524	3529506	89356	AacAad;	HIGH_QUAL	yes	9
84	Burkholderia lata	N151_BC06	s_2523	4160979	258077	AacAad;	HIGH_QUAL	yes	9
85	Burkholderia lata	N150_BC11	s_2522	3859806	96262	AacAad;	HIGH_QUAL	yes	9
86	Burkholderia lata	N104_BC06	s_2514	1468945	29494		MEDIUM_QUAL	yes	10
87	Burkholderia lata	N127_BC10	s_2519	5467564	3350646	AacAad;	HIGH_QUAL	yes	9
88	Burkholderia lata	N139_BC07	s_2520	4710518	3330614	AacAad;	HIGH_QUAL	yes	9
89	Burkholderia lata	N139_BC08	s_2521	4351554	162459		HIGH_QUAL	yes	9
90	Staphylococcus cohnii	N101_BC08	s_5432	2674046	2647443		HIGH_QUAL	yes	34
91	Staphylococcus cohnii	N129_BC02	s_5442	3258042	2578302		MEDIUM_QUAL	yes	34
92	Acinetobacter pittii	N104_BC09	s_474	2365692	118150	Mbl;	MEDIUM_QUAL	yes	2
93	Acinetobacter pittii	N214_BC03	s_501	1846617	72038		MEDIUM_QUAL	yes	2
94	Sphingomonas sp.	N182_BC08	s_4578	3732769	3347709		HIGH_QUAL	yes	31
95	Sphingomonas sp.	N216_BC07	s_4581	4075634	4035155		HIGH_QUAL	yes	32
96	Sphingomonas sp.	N215_BC02	s_4580	3724349	3687347		HIGH_QUAL	yes	31
97	Sphingomonas sp.	N156_BC02	s_4575	3714554	3677649		HIGH_QUAL	yes	31
98	Sphingomonas sp.	N156_BC01	s_4574	3709175	3672323		HIGH_QUAL	yes	31
99	Sphingomonas sp.	N162_BC07	s_4576	4057846	4017542		HIGH_QUAL	yes	32
100	Sphingomonas sp.	N223_BC05	s_4582	3698124	3661384		HIGH_QUAL	yes	31
101	Sphingomonas sp.	N182_BC07	s_4577	3730758	3693693		HIGH_QUAL	yes	31
102	Chromobacterium vaccinii	N227_BC02	s_2715	2950756	2013091		MEDIUM_QUAL	yes	13
103	Chromobacterium vaccinii	N228_BC06	s_2716	2641821	152942		MEDIUM_QUAL	yes	13
104	Chromobacterium vaccinii	N187_BC02	s_2709	4991588	4942038		MEDIUM_QUAL	yes	13
105	Chromobacterium vaccinii	N183_BC04	s_2708	4951221	4902072		HIGH_QUAL	yes	13
106	Chromobacterium vaccinii	N208_BC01	s_2712	2807774	766517		MEDIUM_QUAL	yes	13
107	Chromobacterium vaccinii	N175_BC04	s_2705	3021488	406895		MEDIUM_QUAL	yes	13
108	Chromobacterium vaccinii	N196_BC09	s_2710	5141404	5090373		MEDIUM_QUAL	yes	13
109	Paenibacillus sp.	N190_BC10	s_3961	5224571	57188		HIGH_QUAL	yes	22
110	Paenibacillus sp.	N143_BC11	s_3956	7384667	973458		HIGH_QUAL	yes	22
111	Paenibacillus sp.	N220_BC06	s_3967	7228303	3908985		HIGH_QUAL	yes	22
112	Paenibacillus sp.	N132_BC08	s_3955	7327121	1109109		HIGH_QUAL	yes	22
113	Paenibacillus sp.	N198_BC04	s_3964	7230087	2370655		HIGH_QUAL	yes	22
114	Paenibacillus sp.	N173_BC04	s_3958	7236049	7164277		HIGH_QUAL	yes	22
115	Lysinibacillus sp.	N170_BC01	s_3892	5097062	3011210		MEDIUM_QUAL	yes	18
116	Lysinibacillus sp.	N234_BC11	s_3898	4756930	4625563		HIGH_QUAL	yes	20
117	Lysinibacillus sp.	N220_BC01	s_3896	4829938	1638999		HIGH_QUAL	yes	19
118	Staphylococcus succinus	N176_BC11	s_7222	3165273	2868438	Dfr;	HIGH_QUAL	yes	37
119	Staphylococcus succinus	N225_BC07	s_7231	2720521	1665149		HIGH_QUAL	yes	37
120	Staphylococcus succinus	N202_BC08	s_7226	2848213	711439		HIGH_QUAL	yes	37
121	Staphylococcus succinus	N176_BC09	s_7220	3016521	2887828	Dfr;	HIGH_QUAL	yes	37
122	Staphylococcus succinus	N168_BC08	s_7219	3081378	2859543		HIGH_QUAL	yes	37
123	Staphylococcus succinus	N176_BC12	s_7223	2768299	1894473	Dfr;	HIGH_QUAL	yes	37
124	Pseudomonas putida	N188_BC01	s_4178	5467223	5392762		HIGH_QUAL	yes	27
125	Pseudomonas putida	N227_BC03	s_4186	5295066	357697		HIGH_QUAL	yes	27
126	Pseudomonas putida	N198_BC03	s_4183	5420923	1116610		HIGH_QUAL	yes	27
127	Pseudomonas putida	N192_BC11	s_4180	6123066	3261272	StrB;StrA;	HIGH_QUAL	yes	28
128	Corynebacterium striatum	N230_BC07	s_2790	1066447	716671	StrB;StrA;ErmX;Cmr;Aph3Ia;ErmX;	MEDIUM_QUAL	yes	15
129	Pseudomonas sp.	N104_BC04	s_4206	2228010	571047		MEDIUM_QUAL	yes	30
130	Elizabethkingia genomosp.	N221_BC03	s_3072	2321356	2243664	B-1;	MEDIUM_QUAL	yes	16
131	Elizabethkingia genomosp.	N155_BC09	s_3048	2765106	2709434	B-1;	MEDIUM_QUAL	yes	16
132	Paenibacillus xylanexedens	N195_BC10	s_3976	5488389	128245		HIGH_QUAL	yes	24
133	Paenibacillus xylanexedens	N101_BC06	s_3974	6514003	6153901		HIGH_QUAL	yes	23
134	Streptococcus salivarius	N174_BC07	s_7335	1143922	87734	TetM;	MEDIUM_QUAL	yes	42
135	Burkholderia cenocepacia	N139_BC07	s_2451	4039760	3999637		MEDIUM_QUAL	yes	9
136	Burkholderia cenocepacia	N209_BC12	s_2461	4066887	4012890		MEDIUM_QUAL	yes	9
137	Chromobacterium violaceum	N221_BC06	s_2725	3143524	1827642		MEDIUM_QUAL	yes	13
138	Chromobacterium violaceum	N196_BC11	s_2722	2398065	2374197		MEDIUM_QUAL	yes	13
139	Candida dubliniensis	N235_BC07	s_2677	5796650	1031312		HIGH_QUAL	yes	12
140	Candida dubliniensis	N239_BC02	s_2679	8755558	1510412		HIGH_QUAL	yes	12
141	Plautia stali	N105_BC01	s_4003	4277971	1048057		MEDIUM_QUAL	yes	25
142	Macrococcus sp.	N125_BC08	s_3901	1854957	1836466		MEDIUM_QUAL	yes	21
143	Staphylococcus piscifermentans	N233_BC03	s_7160	2177221	110730		MEDIUM_QUAL	yes	36
144	Pantoea rwandensis	N156_BC03	s_3990	4056828	4016533		HIGH_QUAL	yes	25
145	Burkholderia contaminans	N151_BC06	s_2489	2011245	300201	AacAad;	MEDIUM_QUAL	yes	9
146	Comamonas testosteroni	N114_BC09	s_2753	5254376	4323506	IMP-1;OXA-7;GES;Aac6-IIc;GES;EreA;CmlA;	HIGH_QUAL	yes	14
147	Aerococcus viridans	N127_BC12	s_574	2246468	2224099	Aac6-Aph2;Dfr;TetM;	MEDIUM_QUAL	yes	3
148	Acinetobacter lwoffii	N199_BC07	s_422	3107483	501454		HIGH_QUAL	yes	1
149	Pseudomonas oryzihabitans	N112_BC11	s_4155	5089016	5038502		HIGH_QUAL	yes	26
150	Pseudomonas resinovorans	N133_BC12	s_4190	6863031	3838971	SulI;DfrA;Pam;	MEDIUM_QUAL	yes	29
151	Staphylococcus kloosii	N232_BC10	s_7006	2613170	2503092		HIGH_QUAL	yes	35
152	Staphylococcus haemolyticus	N125_BC03	s_6077	2579393	2553727	MECA;Far1;	HIGH_QUAL	no	NA
153	Staphylococcus haemolyticus	N143_BC01	s_6170	2753331	621694	MECA;BlaZ;	HIGH_QUAL	no	NA
154	Staphylococcus haemolyticus	N192_BC07	s_6447	2567595	2542045	MphC;Aph3-III;Aac6-Aph2;MECA;Sat4A;BlaZ;TetK;MsrA;	HIGH_QUAL	no	NA
155	Staphylococcus haemolyticus	N145_BC09	s_6188	2674023	2647421	BlaZ;MECA;Aac6-Aph2;TetK;TetM;	HIGH_QUAL	no	NA
156	Staphylococcus haemolyticus	N163_BC04	s_6276	1641556	41510	BlaZ;MphC;	MEDIUM_QUAL	no	NA
157	Staphylococcus haemolyticus	N121_BC07	s_6051	2573429	2529247	Dfr;MECA;Far1;BlaZ;	HIGH_QUAL	no	NA
158	Staphylococcus haemolyticus	N135_BC02	s_6141	2746714	2670066	Aph3-III;MECA;BlaZ;Aac6-Aph2;TetK;TetM;MECA;	HIGH_QUAL	no	NA
159	Staphylococcus haemolyticus	N113_BC08	s_5998	2699902	2045689	BlaZ;MECA;TetK;BlaZ;TetK;MECA;	HIGH_QUAL	no	NA
160	Staphylococcus haemolyticus	N151_BC01	s_6212	2946208	2357268	MECA;Aac6-Aph2;BlaZ;TetK;MECA;Aac6-Aph2;BlaZ;MphC;Dfr;MsrA;	MEDIUM_QUAL	no	NA
161	Staphylococcus haemolyticus	N239_BC04	s_6623	2793257	204150	Aac6-Aph2;TetM;BlaZ;MECA;TetK;BlaZ;Aac6-Aph2;Aph3-III;Sat4A;BlaZ;MECA;	HIGH_QUAL	no	NA
162	Staphylococcus haemolyticus	N105_BC06	s_5962	2097222	46121	AadD;TetK;LnuA;	MEDIUM_QUAL	no	NA
163	Staphylococcus haemolyticus	N166_BC11	s_6291	2542646	2517346	Dfr;Aac6-Aph2;MECA;BlaZ;	HIGH_QUAL	no	NA
164	Staphylococcus haemolyticus	N145_BC05	s_6186	2614347	2553114	MECA;Aph3-III;BlaZ;Sat4A;BlaZ;Aac6-Aph2;	HIGH_QUAL	no	NA
165	Staphylococcus haemolyticus	N189_BC11	s_6429	2938287	894015	MECA;Aac6-Aph2;BlaZ;MsrA;Aac6-Aph2;Dfr;	MEDIUM_QUAL	no	NA
166	Staphylococcus haemolyticus	N193_BC11	s_6456	2561811	341956	BlaZ;Aph3-III;BlaZ;Sat4A;MECA;TetK;	HIGH_QUAL	no	NA
167	Staphylococcus haemolyticus	N178_BC07	s_6365	2270177	342294	Dfr;	MEDIUM_QUAL	no	NA
168	Staphylococcus haemolyticus	N174_BC09	s_6336	2771931	2656740	Aac6-Aph2;MECA;Dfr;BlaZ;TetK;TetK;	HIGH_QUAL	no	NA
169	Staphylococcus haemolyticus	N125_BC04	s_6078	2897849	1962579	Aac6-Aph2;BlaZ;MECA;MphC;BlaZ;MECA;Aph3-III;Sat4A;Far1;MsrA;Aac6-Aph2;	MEDIUM_QUAL	no	NA
170	Staphylococcus haemolyticus	N103_BC04	s_5951	2524813	59473	MphC;MsrA;Aph3-III;TetK;Sat4A;AadD;ErmC;BlaZ;LnuA;BlaZ;Aac6-Aph2;BlaZ;ErmC;AadD;Aac6-Aph2;BlaZ;	HIGH_QUAL	no	NA
171	Staphylococcus haemolyticus	N176_BC05	s_6346	2660193	2633727	MphC;Aph3-III;Aac6-Aph2;Aac6-Aph2;MECA;Sat4A;BlaZ;MsrA;	HIGH_QUAL	no	NA
172	Staphylococcus haemolyticus	N236_BC04	s_6612	2387671	200093		MEDIUM_QUAL	no	NA
173	Staphylococcus haemolyticus	N166_BC08	s_6288	2571054	2545472	Aac6-Aph2;MECA;Dfr;BlaZ;	HIGH_QUAL	no	NA
174	Staphylococcus haemolyticus	N115_BC08	s_6006	2589773	1185401	BlaZ;MECA;	HIGH_QUAL	no	NA
175	Staphylococcus haemolyticus	N123_BC10	s_6068	2787428	374914	MECA;Aac6-Aph2;BlaZ;MECA;MphC;Aac6-Aph2;MsrA;Aac6-Aph2;Dfr;	HIGH_QUAL	no	NA
176	Staphylococcus haemolyticus	N230_BC10	s_6585	2733212	1576621	Dfr;BlaZ;MECA;Aac6-Aph2;MphC;MsrA;	HIGH_QUAL	no	NA
177	Staphylococcus haemolyticus	N184_BC07	s_6397	2559945	257116	AadD;AadD;TetK;BlaZ;TetK;BlaZ;TetK;BlaZ;MECA;MECA;	HIGH_QUAL	no	NA
178	Staphylococcus haemolyticus	N235_BC03	s_6608	2875972	354425	MECA;Aac6-Aph2;MphC;MsrA;BlaZ;	MEDIUM_QUAL	no	NA
179	Staphylococcus haemolyticus	N123_BC01	s_6065	2714455	2639087	MphC;BlaZ;Aph3-III;MECA;Aac6-Aph2;Sat4A;Aac6-Aph2;MsrA;	HIGH_QUAL	no	NA
180	Staphylococcus haemolyticus	N158_BC03	s_6252	2750151	2573552	MECA;BlaZ;Aac6-Aph2;MsrA;MphC;Aac6-Aph2;MphC;MsrA;MphC;Aac6-Aph2;MsrA;	HIGH_QUAL	no	NA
181	Staphylococcus haemolyticus	N221_BC12	s_6560	2717852	535641	MphC;BlaZ;Aac6-Aph2;MECA;Aac6-Aph2;Dfr;Far1;	HIGH_QUAL	no	NA
182	Staphylococcus haemolyticus	N117_BC04	s_6017	1945669	75212	Aph3-III;Sat4A;BlaZ;	MEDIUM_QUAL	no	NA
183	Staphylococcus haemolyticus	N161_BC03	s_6268	2543154	161094	Dfr;MECA;BlaZ;MphC;MsrA;	HIGH_QUAL	no	NA
184	Staphylococcus haemolyticus	N236_BC10	s_6615	2638892	204435	MECA;	HIGH_QUAL	no	NA
185	Staphylococcus haemolyticus	N179_BC11	s_6374	2736089	2623811	MphC;Aph3-III;Aac6-Aph2;Aph3-III;MECA;Sat4A;Sat4A;TetK;BlaZ;BlaZ;MsrA;Aac6-Aph2;	HIGH_QUAL	no	NA
186	Staphylococcus haemolyticus	N157_BC06	s_6247	2719720	2663725	BlaZ;Aph3-III;MECA;Aac6-Aph2;TetK;TetM;AadD;	HIGH_QUAL	no	NA
187	Staphylococcus haemolyticus	N114_BC06	s_6004	2568831	2233469	MECA;Dfr;Aac6-Aph2;BlaZ;	HIGH_QUAL	no	NA
188	Staphylococcus haemolyticus	N128_BC07	s_6100	2633559	2607359	Aac6-Aph2;MECA;Dfr;MphC;BlaZ;MsrA;	HIGH_QUAL	no	NA
189	Staphylococcus haemolyticus	N227_BC06	s_6581	2625855	77815	Far1;BlaZ;MECA;	HIGH_QUAL	no	NA
190	Staphylococcus haemolyticus	N108_BC03	s_5975	2677407	2650771	MECA;Aac6-Aph2;BlaZ;	HIGH_QUAL	no	NA
191	Staphylococcus haemolyticus	N204_BC04	s_6504	2817281	573504	BlaZ;	HIGH_QUAL	no	NA
192	Staphylococcus haemolyticus	N117_BC08	s_6021	2660118	1492530	MphC;MsrA;Sat4A;Aph3-III;BlaZ;MECA;TetK;	HIGH_QUAL	no	NA
193	Staphylococcus haemolyticus	N105_BC04	s_5960	2683000	2317208	BlaZ;Aph3-III;MECA;Aac6-Aph2;Aac6-Aph2;Sat4A;MphC;MsrA;	HIGH_QUAL	no	NA
194	Staphylococcus haemolyticus	N210_BC06	s_6527	2559899	2534428	MECA;BlaZ;TetK;	HIGH_QUAL	no	NA
195	Staphylococcus haemolyticus	N189_BC05	s_6423	2711411	2564638	MECA;MsrA;MsrA;	HIGH_QUAL	no	NA
196	Staphylococcus haemolyticus	N150_BC01	s_6210	2631622	2605440	MphC;Dfr;MECA;MECA;MsrA;BlaZ;	HIGH_QUAL	no	NA
197	Staphylococcus haemolyticus	N188_BC07	s_6416	2543381	161317	Aph3-III;Sat4A;BlaZ;Far1;Aac6-Aph2;MECA;MphC;Aac6-Aph2;MsrA;	HIGH_QUAL	no	NA
198	Staphylococcus haemolyticus	N120_BC12	s_6046	2946861	337215	Aph3-III;Sat4A;BlaZ;Sat4A;Aph3-III;MECA;Aac6-Aph2;CatA;TetK;BlaZ;	MEDIUM_QUAL	no	NA
199	Staphylococcus haemolyticus	N130_BC05	s_6112	2450131	115280	BlaZ;BlaZ;	HIGH_QUAL	no	NA
200	Staphylococcus haemolyticus	N189_BC02	s_6421	2664347	446824	MECA;Aph3-III;Sat4A;BlaZ;MphC;Aac6-Aph2;MsrA;	HIGH_QUAL	no	NA
201	Staphylococcus haemolyticus	N212_BC05	s_6534	2536415	429894		HIGH_QUAL	no	NA
202	Staphylococcus haemolyticus	N198_BC08	s_6471	2685774	130508		HIGH_QUAL	no	NA
203	Staphylococcus haemolyticus	N188_BC03	s_6414	2147721	465638	Aph3-III;MECA;BlaZ;TetK;Sat4A;Dfr;TetK;	MEDIUM_QUAL	no	NA
204	Staphylococcus haemolyticus	N169_BC04	s_6307	2701879	2675000	MphC;Aph3-III;Aac6-Aph2;Aac6-Aph2;MECA;BlaZ;Sat4A;MsrA;	HIGH_QUAL	no	NA
205	Staphylococcus haemolyticus	N199_BC03	s_6476	2435452	137500	MECA;BlaZ;Aph3-III;Sat4A;Dfr;MphC;Aac6-Aph2;MsrA;	HIGH_QUAL	no	NA
206	Staphylococcus haemolyticus	N149_BC10	s_6209	2596382	598501	Aac6-Aph2;BlaZ;Far1;MECA;	HIGH_QUAL	no	NA
207	Staphylococcus haemolyticus	N147_BC09	s_6198	2583571	2557865	MphC;BlaZ;Aph3-III;Aph3-III;Sat4A;Dfr;MECA;Aac6-Aph2;MsrA;Sat4A;	HIGH_QUAL	no	NA
208	Staphylococcus haemolyticus	N142_BC01	s_6167	2612780	2586785	BlaZ;MECA;Far1;	HIGH_QUAL	no	NA
209	Staphylococcus haemolyticus	N108_BC02	s_5974	2673024	2646433	Aac6-Aph2;MECA;BlaZ;	HIGH_QUAL	no	NA
210	Staphylococcus haemolyticus	N127_BC03	s_6092	2587959	2534423	MECA;Aac6-Aph2;MECA;Dfr;BlaZ;	HIGH_QUAL	no	NA
211	Staphylococcus haemolyticus	N255_barcode13	s_6649	2690522	2623282	NONE	HIGH_QUAL	no	NA
212	Staphylococcus haemolyticus	N175_BC10	s_6340	2594013	158566	Aph3-III;Sat4A;MECA;BlaZ;BlaZ;BlaZ;TetK;	HIGH_QUAL	no	NA
213	Staphylococcus haemolyticus	N219_BC07	s_6552	2483432	354027	Aac6-Aph2;BlaZ;BlaZ;MECA;	HIGH_QUAL	no	NA
214	Staphylococcus haemolyticus	N217_BC09	s_6545	2838690	1436984	Far1;TetK;BlaZ;	MEDIUM_QUAL	no	NA
215	Staphylococcus haemolyticus	N200_BC01	s_6481	2432049	112800	MECA;Aac6-Aph2;MphC;Aac6-Aph2;MsrA;BlaZ;Sat4A;Aph3-III;	HIGH_QUAL	no	NA
216	Staphylococcus haemolyticus	N220_BC02	s_6554	2610820	2244449	BlaZ;MECA;TetK;	HIGH_QUAL	no	NA
217	Staphylococcus haemolyticus	N192_BC08	s_6448	2552163	1355776	MphC;Aph3-III;Aac6-Aph2;Sat4A;BlaZ;MsrA;MECA;TetK;	HIGH_QUAL	no	NA
218	Staphylococcus haemolyticus	N191_BC08	s_6443	2583386	2557680	MphC;Aph3-III;Aac6-Aph2;MECA;Sat4A;BlaZ;TetK;MsrA;	HIGH_QUAL	no	NA
