genomeID	lib	Species	length	n50	genome_quality	Illumina_Library_ID	Sample_ID.x	Culturing_Sample_ID	Antibiotics	Sample_ID.y	Cubicle_room	Sample_type	Material	Human_Traffic	timept	Room_type	bed_number
s_19	N100_BC01	Achromobacter_sp.	6631289	6565505	HIGH_QUAL	WEE074	HMA004_02	HMA006_02	STREP	HMA004	Cubicle_2	Aerator	Metal	Empty	2	MDRO_cubicles	NA
s_20	N100_BC02	Achromobacter_sp.	6626476	5607636	HIGH_QUAL	WEE074	HMA004_02	HMA006_02	KAN	HMA004	Cubicle_2	Aerator	Metal	Empty	2	MDRO_cubicles	NA
s_21	N100_BC03	Achromobacter_sp.	6557333	2272914	HIGH_QUAL	WEE074	HMA004_02	HMA006_02	CHLOR	HMA004	Cubicle_2	Aerator	Metal	Empty	2	MDRO_cubicles	NA
s_4104	N100_BC04	Serratia_marcescens	5571684	5516393	MEDIUM_QUAL	WEE056	HMST039	HMST041	AMP	HMST039	Room_4	Sink_Trap	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_4105	N100_BC05	Serratia_marcescens	5559980	5504804	MEDIUM_QUAL	WEE056	HMST039	HMST041	TET	HMST039	Room_4	Sink_Trap	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_5084	N100_BC06	Staphylococcus_epidermidis	2567463	2541915	HIGH_QUAL	WEE047	HMD013	HMD015	AMP	HMD013	Room_5	Door_handle-interior	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_5085	N100_BC07	Staphylococcus_epidermidis	2561752	2536261	HIGH_QUAL	WEE047	HMD013	HMD015	CHLOR	HMD013	Room_5	Door_handle-interior	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_3021	N100_BC08	Enterococcus_faecalis	3089401	2833683	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	AMP	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_175	N100_BC08	Acinetobacter_baumannii	3668894	3632442	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	AMP	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_5086	N100_BC09	Staphylococcus_epidermidis	2680848	2534808	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	KAN	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_3022	N100_BC09	Enterococcus_faecalis	3222947	3190911	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	KAN	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_3023	N100_BC10	Enterococcus_faecalis	3208503	2842971	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	TET	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_5087	N100_BC10	Staphylococcus_epidermidis	2704982	2539699	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	TET	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_3024	N101_BC01	Enterococcus_faecalis	3232735	3200602	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	STREP	HMD007	Room_3	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
s_5088	N101_BC02	Staphylococcus_epidermidis	2663775	2637276	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	TET	HMD007	Room_3	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
s_3025	N101_BC02	Enterococcus_faecalis	3253552	2862219	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	TET	HMD007	Room_3	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
s_3414	N101_BC03	Klebsiella_pneumoniae	5312798	755091	HIGH_QUAL	WEE039	HMBR133	HMBR135	STREP	HMBR133	Room_5	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_3415	N101_BC04	Klebsiella_pneumoniae	5667283	5298258	HIGH_QUAL	WEE039	HMBR133	HMBR135	KAN	HMBR133	Room_5	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_5515	N101_BC05	Staphylococcus_haemolyticus	2702116	950962	HIGH_QUAL	WEE078	HMBL091	HMBL093	AMP	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_1747	N101_BC05	Bacillus_thuringiensis	2784073	35224	MEDIUM_QUAL	WEE078	HMBL091	HMBL093	AMP	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_5089	N101_BC05	Staphylococcus_epidermidis	2296230	832252	HIGH_QUAL	WEE078	HMBL091	HMBL093	AMP	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_3701	N101_BC06	Paenibacillus_xylanexedens	6514003	6153901	HIGH_QUAL	WEE078	HMBL091	HMBL093	STREP	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_5090	N101_BC07	Staphylococcus_epidermidis	2452101	152456	HIGH_QUAL	WEE078	HMBL091	HMBL093	KAN	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_5516	N101_BC07	Staphylococcus_haemolyticus	2538353	2480720	HIGH_QUAL	WEE078	HMBL091	HMBL093	KAN	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_5033	N101_BC08	Staphylococcus_cohnii	2674046	2647443	HIGH_QUAL	WEE078	HMBL091	HMBL093	CHLOR	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_3026	N101_BC11	Enterococcus_faecalis	3216180	2328387	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	AMP	HMD007	Room_3	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
s_3027	N101_BC12	Enterococcus_faecalis	3219184	2868692	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	KAN	HMD007	Room_3	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
s_5091	N101_BC12	Staphylococcus_epidermidis	2663968	2637467	HIGH_QUAL	WEE046	HMD007_02	HMD009_02	KAN	HMD007	Room_3	Door_handle-interior	Metal	Empty	2	Isolation_rooms	NA
s_5092	N102_BC01	Staphylococcus_epidermidis	2688921	2640174	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	TET	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_3028	N102_BC01	Enterococcus_faecalis	3228356	2871523	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	TET	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_5034	N102_BC02	Staphylococcus_cohnii	2745620	2579547	HIGH_QUAL	WEE035	HMBL133_02	HMBL135_02	AMP	HMBL133	Room_5	Bedside_Locker	Wood	Moderate_(2-5)	2	Isolation_rooms	NA
s_5035	N102_BC03	Staphylococcus_cohnii	2638050	1588938	HIGH_QUAL	WEE035	HMBL133_02	HMBL135_02	CHLOR	HMBL133	Room_5	Bedside_Locker	Wood	Moderate_(2-5)	2	Isolation_rooms	NA
s_6488	N102_BC04	Staphylococcus_lugdunensis	2686817	843576	HIGH_QUAL	WEE079	HMBL106	HMBL108	KAN	HMBL106	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	1
s_4780	N102_BC06	Staphylococcus_capitis	2632149	2463980	HIGH_QUAL	WEE332	HMCT052	HMCT054	KAN	HMCT052	Cubicle_4	Cardiac_Table	Metal_and_Wood	Low_(less_than_2)	1	MDRO_cubicles	3
s_6171	N102_BC09	Staphylococcus_hominis	2276073	2003283	HIGH_QUAL	WEE078	HMBL091	HMBL093	TET	HMBL091	Cubicle_3	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_3029	N102_BC10	Enterococcus_faecalis	3242689	2879690	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	AMP	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_3030	N102_BC11	Enterococcus_faecalis	3231700	3199578	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	STREP	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_3031	N102_BC12	Enterococcus_faecalis	3256660	2878052	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	KAN	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_5094	N102_BC12	Staphylococcus_epidermidis	2678837	2652189	HIGH_QUAL	WEE033	HMBL127_02	HMBL129_02	KAN	HMBL127	Room_3	Bedside_Locker	Wood	Empty	2	Isolation_rooms	NA
s_5095	N103_BC01	Staphylococcus_epidermidis	2514459	2489437	HIGH_QUAL	WEE292	HMCT013	HMCT015	AMP	HMCT013	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	5
s_5096	N103_BC02	Staphylococcus_epidermidis	2518920	2493854	HIGH_QUAL	WEE292	HMCT013	HMCT015	KAN	HMCT013	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	5
s_4348	N103_BC03	Staphylococcus_aureus	2893831	2832028	HIGH_QUAL	WEE292	HMCT013	HMCT015	TET	HMCT013	Cubicle_1	Cardiac_Table	Metal_and_Wood	Empty	1	MDRO_cubicles	5
s_6490	N103_BC04	Staphylococcus_lugdunensis	1500200	24622	MEDIUM_QUAL	WEE376	HMBL118	HMBL120	KAN	HMBL118	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5
s_6172	N103_BC04	Staphylococcus_hominis	2298285	716311	HIGH_QUAL	WEE376	HMBL118	HMBL120	KAN	HMBL118	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5
s_5521	N103_BC04	Staphylococcus_haemolyticus	2524813	59473	HIGH_QUAL	WEE376	HMBL118	HMBL120	KAN	HMBL118	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	5
s_4781	N103_BC05	Staphylococcus_capitis	2391600	1297405	HIGH_QUAL	WEE242	HMBL052	HMBL054	CHLOR	HMBL052	Cubicle_4	Bedside_Locker	Wood	Low_(less_than_2)	1	MDRO_cubicles	3
s_4782	N103_BC06	Staphylococcus_capitis	2752447	2635210	HIGH_QUAL	WEE242	HMBL052	HMBL054	KAN	HMBL052	Cubicle_4	Bedside_Locker	Wood	Low_(less_than_2)	1	MDRO_cubicles	3
s_4783	N103_BC07	Staphylococcus_capitis	2668562	2102197	HIGH_QUAL	WEE242	HMBL052	HMBL054	TET	HMBL052	Cubicle_4	Bedside_Locker	Wood	Low_(less_than_2)	1	MDRO_cubicles	3
s_5522	N103_BC08	Staphylococcus_haemolyticus	2551962	353981	HIGH_QUAL	WEE162	HMBL076	HMBL078	KAN	HMBL076	Cubicle_2	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_4784	N103_BC08	Staphylococcus_capitis	2690350	787824	HIGH_QUAL	WEE162	HMBL076	HMBL078	KAN	HMBL076	Cubicle_2	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_6174	N103_BC09	Staphylococcus_hominis	2321139	666841	HIGH_QUAL	WEE162	HMBL076	HMBL078	STREP	HMBL076	Cubicle_2	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_5523	N103_BC10	Staphylococcus_haemolyticus	2773930	1771307	HIGH_QUAL	WEE094	HMCT109	HMCT111	KAN	HMCT109	Cubicle_4	Cardiac_Table	Metal	Low_(less_than_2)	1	Non-cohort_cubicles	2
s_5524	N103_BC11	Staphylococcus_haemolyticus	2694455	1982468	HIGH_QUAL	WEE094	HMCT109	HMCT111	STREP	HMCT109	Cubicle_4	Cardiac_Table	Metal	Low_(less_than_2)	1	Non-cohort_cubicles	2
s_5525	N103_BC12	Staphylococcus_haemolyticus	2724387	792436	HIGH_QUAL	WEE094	HMCT109	HMCT111	TET	HMCT109	Cubicle_4	Cardiac_Table	Metal	Low_(less_than_2)	1	Non-cohort_cubicles	2
s_4351	N104_BC01	Staphylococcus_aureus	2940798	2842299	HIGH_QUAL	WEE038	HMBR130	HMBR132	AMP	HMBR130	Room_4	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_4352	N104_BC03	Staphylococcus_aureus	2964699	2559858	HIGH_QUAL	WEE038	HMBR130	HMBR132	KAN	HMBR130	Room_4	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_3929	N104_BC04	Pseudomonas_sp.	2228010	571047	MEDIUM_QUAL	WEE038	HMBR130	HMBR132	STREP	HMBR130	Room_4	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_4353	N104_BC05	Staphylococcus_aureus	2702158	64542	HIGH_QUAL	WEE038	HMBR130	HMBR132	TET	HMBR130	Room_4	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_2395	N104_BC06	Burkholderia_lata	1468945	29494	MEDIUM_QUAL	WEE028	HMA039	HMA041	AMP	HMA039	Room_4	Aerator	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_5527	N104_BC09	Staphylococcus_haemolyticus	1417268	20936	MEDIUM_QUAL	WEE299	HMP007	HMP009	AMP	HMP007	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
s_448	N104_BC09	Acinetobacter_pittii	2365692	118150	MEDIUM_QUAL	WEE299	HMP007	HMP009	AMP	HMP007	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
s_449	N104_BC10	Acinetobacter_pittii	3878715	3559325	HIGH_QUAL	WEE299	HMP007	HMP009	CHLOR	HMP007	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
s_5104	N104_BC11	Staphylococcus_epidermidis	2440920	1946166	HIGH_QUAL	WEE299	HMP007	HMP009	STREP	HMP007	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
s_5528	N104_BC12	Staphylococcus_haemolyticus	2524561	120336	HIGH_QUAL	WEE299	HMP007	HMP009	TET	HMP007	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
s_4356	N104_BC12	Staphylococcus_aureus	2939995	461332	HIGH_QUAL	WEE299	HMP007	HMP009	TET	HMP007	Cubicle_3	Pulse_Oxymeter	Rubber	Empty	1	MDRO_cubicles	NA
s_3730	N105_BC01	Plautia_stali	4277971	1048057	MEDIUM_QUAL	WEE106	HMBL115	HMBL117	AMP	HMBL115	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	4
s_5036	N105_BC02	Staphylococcus_cohnii	2628364	1301225	HIGH_QUAL	WEE106	HMBL115	HMBL117	CHLOR	HMBL115	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	4
s_6492	N105_BC03	Staphylococcus_lugdunensis	2551725	1266047	HIGH_QUAL	WEE106	HMBL115	HMBL117	KAN	HMBL115	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	4
s_5529	N105_BC03	Staphylococcus_haemolyticus	2768783	765147	HIGH_QUAL	WEE106	HMBL115	HMBL117	KAN	HMBL115	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	4
s_5530	N105_BC04	Staphylococcus_haemolyticus	2683000	2317208	HIGH_QUAL	WEE106	HMBL115	HMBL117	STREP	HMBL115	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	4
s_5531	N105_BC05	Staphylococcus_haemolyticus	2200543	44293	MEDIUM_QUAL	WEE106	HMBL115	HMBL117	TET	HMBL115	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	4
s_6176	N105_BC05	Staphylococcus_hominis	2302347	1303196	HIGH_QUAL	WEE106	HMBL115	HMBL117	TET	HMBL115	Cubicle_4	Bedside_Locker	Metal_and_Wood	Empty	1	Non-cohort_cubicles	4
s_5105	N105_BC06	Staphylococcus_epidermidis	2618958	391065	HIGH_QUAL	WEE117	HMBL073_02	HMBL075_02	KAN	HMBL073	Cubicle_1	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	5
s_5532	N105_BC06	Staphylococcus_haemolyticus	2097222	46121	MEDIUM_QUAL	WEE117	HMBL073_02	HMBL075_02	KAN	HMBL073	Cubicle_1	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	5
s_4357	N105_BC06	Staphylococcus_aureus	1455541	17831	MEDIUM_QUAL	WEE117	HMBL073_02	HMBL075_02	KAN	HMBL073	Cubicle_1	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	5
s_5533	N105_BC07	Staphylococcus_haemolyticus	2517235	175636	HIGH_QUAL	WEE117	HMBL073_02	HMBL075_02	TET	HMBL073	Cubicle_1	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	5
s_5106	N105_BC07	Staphylococcus_epidermidis	2362584	683461	HIGH_QUAL	WEE117	HMBL073_02	HMBL075_02	TET	HMBL073	Cubicle_1	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	5
s_4358	N105_BC07	Staphylococcus_aureus	1844293	27539	MEDIUM_QUAL	WEE117	HMBL073_02	HMBL075_02	TET	HMBL073	Cubicle_1	Bedside_Locker	Wood	Empty	2	Non-cohort_cubicles	5
s_4786	N105_BC08	Staphylococcus_capitis	2523370	2498261	HIGH_QUAL	WEE366	HMD001	HMD003	AMP	HMD001	Room_1	Door_handle-interior	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
s_4787	N105_BC09	Staphylococcus_capitis	2530599	2505416	HIGH_QUAL	WEE366	HMD001	HMD003	KAN	HMD001	Room_1	Door_handle-interior	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
s_4788	N105_BC10	Staphylococcus_capitis	2481544	2456848	HIGH_QUAL	WEE366	HMD001	HMD003	TET	HMD001	Room_1	Door_handle-interior	Metal	Low_(less_than_2)	1	Isolation_rooms	NA
s_5534	N105_BC11	Staphylococcus_haemolyticus	2689167	1343596	HIGH_QUAL	WEE103	HMBL085	HMBL087	AMP	HMBL085	Cubicle_2	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	4
s_5535	N105_BC12	Staphylococcus_haemolyticus	2844800	116595	MEDIUM_QUAL	WEE103	HMBL085	HMBL087	KAN	HMBL085	Cubicle_2	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	4
s_22	N106_BC01	Achromobacter_sp.	6629077	6563315	HIGH_QUAL	WEE074	HMA004_02	HMA006_02	TET	HMA004	Cubicle_2	Aerator	Metal	Empty	2	MDRO_cubicles	NA
s_178	N106_BC02	Acinetobacter_baumannii	3929450	3890418	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	CHLOR	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2
s_179	N106_BC03	Acinetobacter_baumannii	3921609	3882655	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	KAN	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2
s_180	N106_BC04	Acinetobacter_baumannii	3920693	3881749	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	TET	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2
s_3033	N106_BC04	Enterococcus_faecalis	2050300	107529	MEDIUM_QUAL	WEE062	HMBR019_02	HMBR021_02	TET	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2
s_4106	N106_BC05	Serratia_marcescens	5578022	5522668	MEDIUM_QUAL	WEE056	HMST039	HMST041	STREP	HMST039	Room_4	Sink_Trap	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_181	N106_BC06	Acinetobacter_baumannii	3680195	3643631	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	CHLOR	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_3416	N106_BC07	Klebsiella_pneumoniae	5379373	5325985	HIGH_QUAL	WEE039	HMBR133	HMBR135	CHLOR	HMBR133	Room_5	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_3417	N106_BC08	Klebsiella_pneumoniae	5516696	5310337	HIGH_QUAL	WEE039	HMBR133	HMBR135	TET	HMBR133	Room_5	Bed_Rail	Plastic	Moderate_(2-5)	1	Isolation_rooms	NA
s_4789	N106_BC09	Staphylococcus_capitis	2549257	2523890	HIGH_QUAL	WEE035	HMBL133_02	HMBL135_02	KAN	HMBL133	Room_5	Bedside_Locker	Wood	Moderate_(2-5)	2	Isolation_rooms	NA
s_182	N106_BC10	Acinetobacter_baumannii	3662968	3626576	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	STREP	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_3034	N106_BC10	Enterococcus_faecalis	3242756	2879463	HIGH_QUAL	WEE043	HMCT127_02	HMCT129_02	STREP	HMCT127	Room_3	Cardiac_Table	Metal_and_Wood	Empty	2	Isolation_rooms	NA
s_5108	N106_BC11	Staphylococcus_epidermidis	2553312	2113601	HIGH_QUAL	WEE047	HMD013	HMD015	KAN	HMD013	Room_5	Door_handle-interior	Metal	Moderate_(2-5)	1	Isolation_rooms	NA
s_3480	N106_BC12	Klebsiella_quasipneumoniae	5085152	5034678	HIGH_QUAL	WEE181	HMP018	HMP020	AMP	HMP018	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
s_3519	N107_BC01	Klebsiella_variicola	5084342	5033875	HIGH_QUAL	WEE181	HMP018	HMP020	CHLOR	HMP018	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
s_3481	N107_BC02	Klebsiella_quasipneumoniae	5087902	5037400	HIGH_QUAL	WEE181	HMP018	HMP020	KAN	HMP018	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
s_2980	N107_BC03	Enterobacteriaceae_bacterium	2931489	2902337	MEDIUM_QUAL	WEE181	HMP018	HMP020	TET	HMP018	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
s_3209	N107_BC04	Enterococcus_faecium	3104403	319026	HIGH_QUAL	WEE181	HMP018	HMP020	STREP	HMP018	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
s_3418	N107_BC04	Klebsiella_pneumoniae	5084425	5033957	HIGH_QUAL	WEE181	HMP018	HMP020	STREP	HMP018	Cubicle_1	Pulse_Oxymeter	Rubber	Empty	1	Non-cohort_cubicles	NA
s_6178	N107_BC05	Staphylococcus_hominis	2385181	2308604	HIGH_QUAL	WEE075	HMP004_02	HMP006_02	KAN	HMP004	Cubicle_2	Pulse_Oxymeter	Rubber	Empty	2	MDRO_cubicles	NA
s_4790	N107_BC05	Staphylococcus_capitis	2503511	1466410	HIGH_QUAL	WEE075	HMP004_02	HMP006_02	KAN	HMP004	Cubicle_2	Pulse_Oxymeter	Rubber	Empty	2	MDRO_cubicles	NA
s_3035	N107_BC06	Enterococcus_faecalis	2967724	2938214	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	STREP	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2
s_820	N107_BC06	Bacillus_cereus	5051990	2701248	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	STREP	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2
s_3210	N107_BC06	Enterococcus_faecium	2911153	2422110	HIGH_QUAL	WEE062	HMBR019_02	HMBR021_02	STREP	HMBR019	Cubicle_2	Bed_Rail	Metal	Empty	2	MDRO_cubicles	2
s_5110	N107_BC07	Staphylococcus_epidermidis	2490905	2466115	HIGH_QUAL	WEE162	HMBL076	HMBL078	CHLOR	HMBL076	Cubicle_2	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	1
s_5539	N107_BC09	Staphylococcus_haemolyticus	2579802	2554132	HIGH_QUAL	WEE103	HMBL085	HMBL087	STREP	HMBL085	Cubicle_2	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	4
s_5540	N107_BC10	Staphylococcus_haemolyticus	2653089	2606542	HIGH_QUAL	WEE103	HMBL085	HMBL087	TET	HMBL085	Cubicle_2	Bedside_Locker	Wood	Empty	1	Non-cohort_cubicles	4
s_183	N107_BC11	Acinetobacter_baumannii	2396727	49380	MEDIUM_QUAL	WEE080	HMBR061	HMBR063	CHLOR	HMBR061	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	1
s_5542	N107_BC12	Staphylococcus_haemolyticus	2827475	1941585	MEDIUM_QUAL	WEE080	HMBR061	HMBR063	KAN	HMBR061	Cubicle_1	Bed_Rail	Metal	Empty	1	Non-cohort_cubicles	1
